year,month,day,hour,power,lat,lng,PRES,WND
1967,10,6,12,0,20.0,150.0,1008.0,0.0
1967,10,6,18,0,20.5,149.5,1006.0,0.0
1967,10,7,0,1,21.2,148.8,1002.0,15.0
1967,10,7,6,2,22.0,148.3,1000.0,20.0
1967,10,7,12,2,23.0,148.0,998.0,20.0
1967,10,7,18,2,24.0,147.8,998.0,20.0
1967,10,8,0,2,25.0,147.8,997.0,20.0
1967,10,8,6,3,26.1,148.0,994.0,25.0
1967,10,8,12,3,27.0,148.6,987.0,25.0
1967,10,8,18,3,28.0,149.5,985.0,30.0
1967,10,9,0,4,29.1,150.6,985.0,35.0
1967,10,9,6,4,30.3,152.4,978.0,35.0
1967,10,9,12,4,31.3,154.7,979.0,35.0
1967,10,9,18,3,32.3,157.8,980.0,30.0
1967,10,10,0,3,33.1,160.8,985.0,30.0
1967,10,10,6,3,33.6,163.6,990.0,30.0
1967,10,10,12,9,34.0,167.7,998.0,0.0
1967,10,10,18,9,34.0,171.2,1002.0,0.0
1967,10,11,0,9,35.0,175.3,1008.0,0.0
1967,10,11,6,9,36.0,179.0,1008.0,0.0
