year,month,day,hour,power,lat,lng,PRES,WND
1967,10,30,0,0,6.5,150.0,1008.0,0.0
1967,10,30,6,1,6.7,148.0,1004.0,15.0
1967,10,30,12,1,6.9,146.3,1004.0,15.0
1967,10,30,18,2,7.3,144.9,1000.0,20.0
1967,10,31,0,3,7.7,143.8,992.0,25.0
1967,10,31,6,3,8.2,142.3,990.0,25.0
1967,10,31,12,3,8.5,141.0,987.0,30.0
1967,10,31,18,4,8.6,139.5,980.0,35.0
1967,11,1,0,4,8.6,138.1,974.0,40.0
1967,11,1,6,5,8.8,136.7,971.0,45.0
1967,11,1,12,5,9.3,135.3,966.0,50.0
1967,11,1,18,6,9.9,134.1,952.0,55.0
1967,11,2,0,6,10.1,132.4,937.0,60.0
1967,11,2,6,6,10.5,131.0,929.0,65.0
1967,11,2,12,6,11.2,129.8,920.0,65.0
1967,11,2,18,6,11.7,128.3,912.0,65.0
1967,11,3,0,6,12.2,126.9,920.0,60.0
1967,11,3,6,5,12.6,125.3,945.0,50.0
1967,11,3,12,5,12.8,124.3,956.0,45.0
1967,11,3,18,5,13.2,123.3,960.0,45.0
1967,11,4,0,5,14.0,122.0,965.0,45.0
1967,11,4,6,4,14.8,120.9,970.0,40.0
1967,11,4,12,4,15.7,119.6,970.0,40.0
1967,11,4,18,4,16.1,118.5,975.0,35.0
1967,11,5,0,4,16.2,117.5,981.0,35.0
1967,11,5,6,4,16.5,117.0,982.0,35.0
1967,11,5,12,3,17.3,116.7,982.0,30.0
1967,11,5,18,3,17.7,116.2,980.0,30.0
1967,11,6,0,3,17.8,115.6,978.0,30.0
1967,11,6,6,3,18.0,114.9,976.0,30.0
1967,11,6,12,3,18.3,114.3,980.0,30.0
1967,11,6,18,3,18.6,113.6,980.0,30.0
1967,11,7,0,3,19.1,113.0,980.0,30.0
1967,11,7,6,3,19.7,112.2,980.0,30.0
1967,11,7,12,3,20.3,111.4,980.0,30.0
1967,11,7,18,3,20.9,110.7,980.0,30.0
1967,11,8,0,2,21.2,110.1,990.0,20.0
1967,11,8,6,1,21.7,109.7,1000.0,15.0
1967,11,8,12,0,21.8,109.3,1010.0,9.0
