year,month,day,hour,power,lat,lng,PRES,WND
1967,7,27,18,0,16.4,113.4,1000.0,0.0
1967,7,28,0,0,17.3,114.5,999.0,0.0
1967,7,28,6,0,17.5,115.6,999.0,0.0
1967,7,28,12,0,16.5,116.4,998.0,0.0
1967,7,28,18,0,15.1,116.7,997.0,0.0
1967,7,29,0,0,15.4,116.3,996.0,0.0
1967,7,29,6,1,15.7,116.2,996.0,15.0
1967,7,29,12,1,16.2,115.9,994.0,15.0
1967,7,29,18,1,16.6,115.6,994.0,15.0
1967,7,30,0,2,16.7,115.2,989.0,20.0
1967,7,30,6,2,16.8,114.6,988.0,20.0
1967,7,30,12,3,17.1,114.2,986.0,25.0
1967,7,30,18,3,17.3,113.8,983.0,25.0
1967,7,31,0,3,17.5,113.5,980.0,30.0
1967,7,31,6,3,17.7,113.0,978.0,30.0
1967,7,31,12,4,17.9,112.5,976.0,35.0
1967,7,31,18,4,18.2,112.2,976.0,35.0
1967,8,1,0,4,18.6,112.2,977.0,35.0
1967,8,1,6,4,18.9,112.2,978.0,35.0
1967,8,1,12,4,19.4,112.0,979.0,35.0
1967,8,1,18,4,19.8,111.7,975.0,35.0
1967,8,2,0,4,20.3,111.4,970.0,35.0
1967,8,2,6,4,20.7,111.1,970.0,35.0
1967,8,2,12,4,21.1,110.9,970.0,35.0
1967,8,2,18,3,21.7,111.1,975.0,25.0
1967,8,3,0,2,22.5,111.2,988.0,20.0
1967,8,3,6,1,23.0,111.5,988.0,15.0
1967,8,3,12,1,24.0,111.6,993.0,12.0
1967,8,3,18,0,24.6,111.5,995.0,9.0
1967,8,4,0,0,25.4,111.2,996.0,9.0
1967,8,4,6,0,26.0,110.4,996.0,9.0
1967,8,4,12,0,27.0,109.8,996.0,9.0
