year,month,day,hour,power,lat,lng,PRES,WND
1967,1,28,6,1,5.2,140.2,1000.0,15.0
1967,1,28,12,1,5.0,140.1,999.0,15.0
1967,1,28,18,1,4.9,139.9,998.0,15.0
1967,1,29,0,1,5.0,139.7,996.0,15.0
1967,1,29,6,1,5.4,139.3,998.0,15.0
1967,1,29,12,1,5.7,139.1,999.0,15.0
1967,1,29,18,1,5.7,139.4,1000.0,15.0
1967,1,30,0,1,5.5,139.6,1000.0,15.0
1967,1,30,6,1,5.4,139.5,1000.0,15.0
1967,1,30,12,1,5.4,139.3,1000.0,15.0
1967,1,30,18,1,5.5,139.1,1000.0,15.0
1967,1,31,0,1,5.6,138.9,1000.0,15.0
1967,1,31,6,1,5.7,138.5,1000.0,15.0
1967,1,31,12,1,5.9,137.9,1000.0,15.0
1967,1,31,18,1,6.0,137.1,1000.0,15.0
1967,2,1,0,1,6.1,136.3,1002.0,15.0
1967,2,1,6,1,6.4,135.3,1002.0,15.0
1967,2,1,12,1,6.7,134.2,1004.0,15.0
1967,2,1,18,1,6.9,133.5,1004.0,15.0
1967,2,2,0,1,7.1,133.0,1004.0,15.0
1967,2,2,6,1,7.3,132.5,1002.0,15.0
1967,2,2,12,1,7.5,132.1,1002.0,15.0
1967,2,2,18,1,7.7,131.7,1002.0,15.0
1967,2,3,0,1,8.0,131.4,1002.0,15.0
1967,2,3,6,1,8.5,131.2,1002.0,15.0
1967,2,3,12,1,9.0,131.2,1002.0,15.0
1967,2,3,18,1,9.5,131.3,1002.0,15.0
1967,2,4,0,1,10.0,131.5,1002.0,15.0
1967,2,4,6,1,10.5,131.6,1002.0,15.0
1967,2,4,12,1,10.8,131.7,1002.0,15.0
1967,2,4,18,1,11.3,131.9,1002.0,15.0
1967,2,5,0,1,11.8,132.1,1002.0,15.0
1967,2,5,6,2,11.8,131.8,1000.0,20.0
1967,2,5,12,2,11.3,131.4,1000.0,20.0
1967,2,5,18,2,10.8,131.1,1002.0,20.0
1967,2,6,0,2,10.0,131.0,1005.0,20.0
1967,2,6,6,2,9.0,131.0,1004.0,20.0
1967,2,6,12,2,8.1,130.9,1004.0,20.0
1967,2,6,18,2,7.4,130.8,1003.0,20.0
1967,2,7,0,1,6.8,130.5,1003.0,15.0
1967,2,7,6,1,6.5,130.0,1003.0,15.0
1967,2,7,12,1,6.2,129.4,1003.0,15.0
1967,2,7,18,1,6.1,128.8,1003.0,15.0
1967,2,8,0,1,6.1,128.2,1002.0,15.0
1967,2,8,6,1,6.3,127.9,1001.0,15.0
1967,2,8,12,1,6.4,127.7,1001.0,15.0
1967,2,8,18,1,6.6,127.5,1002.0,15.0
1967,2,9,0,1,6.7,127.4,1002.0,15.0
1967,2,9,6,1,6.8,127.2,1002.0,15.0
1967,2,9,12,0,7.0,127.0,1004.0,0.0
