year,month,day,hour,power,lat,lng,PRES,WND
1968,9,30,12,0,13.0,161.0,1008.0,0.0
1968,9,30,18,0,13.3,160.5,1008.0,0.0
1968,10,1,0,0,13.6,160.1,1008.0,0.0
1968,10,1,6,0,13.9,159.6,1008.0,0.0
1968,10,1,12,0,14.2,159.2,1002.0,0.0
1968,10,1,18,1,14.5,158.6,1000.0,15.0
1968,10,2,0,2,14.8,158.2,998.0,20.0
1968,10,2,6,2,15.1,157.6,998.0,20.0
1968,10,2,12,2,15.3,158.0,998.0,20.0
1968,10,2,18,3,15.0,158.3,990.0,25.0
1968,10,3,0,4,15.4,158.2,979.0,35.0
1968,10,3,6,4,15.6,158.8,971.0,35.0
1968,10,3,12,4,16.2,159.1,964.0,40.0
1968,10,3,18,4,16.8,159.7,956.0,40.0
1968,10,4,0,5,17.2,160.2,942.0,50.0
1968,10,4,6,6,17.6,161.0,938.0,55.0
1968,10,4,12,6,18.0,161.8,938.0,60.0
1968,10,4,18,6,18.3,162.6,925.0,65.0
1968,10,5,0,6,18.6,163.3,914.0,70.0
1968,10,5,6,6,18.9,163.6,913.0,70.0
1968,10,5,12,6,19.2,163.9,917.0,70.0
1968,10,5,18,6,19.5,164.1,920.0,65.0
1968,10,6,0,6,19.8,164.4,920.0,65.0
1968,10,6,6,6,20.2,164.4,924.0,65.0
1968,10,6,12,6,20.6,164.3,931.0,60.0
1968,10,6,18,6,21.1,164.2,934.0,60.0
1968,10,7,0,6,21.7,164.1,938.0,55.0
1968,10,7,6,6,22.4,164.0,945.0,55.0
1968,10,7,12,5,23.0,163.7,950.0,50.0
1968,10,7,18,5,23.8,163.3,954.0,50.0
1968,10,8,0,5,24.7,163.2,958.0,45.0
1968,10,8,6,4,25.8,162.9,967.0,40.0
1968,10,8,12,4,27.0,162.5,974.0,40.0
1968,10,8,18,4,28.1,162.3,970.0,40.0
1968,10,9,0,4,29.4,162.5,965.0,40.0
1968,10,9,6,4,31.0,163.7,965.0,40.0
1968,10,9,12,4,33.0,165.0,965.0,40.0
1968,10,9,18,4,36.0,166.2,970.0,35.0
1968,10,10,0,4,39.6,167.0,975.0,35.0
1968,10,10,6,9,43.0,166.8,975.0,35.0
1968,10,10,12,9,48.0,167.0,975.0,0.0
1968,10,10,18,9,51.2,166.9,970.0,0.0
1968,10,11,0,9,54.9,165.1,964.0,0.0
