year,month,day,hour,power,lat,lng,PRES,WND
1968,4,5,12,0,4.6,157.4,1004.0,0.0
1968,4,5,18,0,5.0,157.0,1002.0,0.0
1968,4,6,0,0,5.4,156.8,1000.0,0.0
1968,4,6,6,1,5.8,156.6,1000.0,15.0
1968,4,6,12,1,6.2,156.4,1000.0,15.0
1968,4,6,18,1,6.6,156.0,997.0,15.0
1968,4,7,0,2,7.2,155.4,994.0,20.0
1968,4,7,6,2,7.7,155.2,994.0,20.0
1968,4,7,12,2,8.1,154.9,993.0,20.0
1968,4,7,18,2,8.3,154.1,992.0,20.0
1968,4,8,0,3,8.7,153.3,990.0,25.0
1968,4,8,6,3,9.1,152.8,988.0,25.0
1968,4,8,12,3,9.5,152.3,983.0,30.0
1968,4,8,18,4,9.7,151.8,978.0,35.0
1968,4,9,0,4,10.0,151.3,970.0,40.0
1968,4,9,6,5,10.3,151.0,963.0,45.0
1968,4,9,12,5,10.7,150.7,956.0,50.0
1968,4,9,18,6,11.3,150.0,952.0,55.0
1968,4,10,0,6,11.8,149.2,950.0,55.0
1968,4,10,6,6,12.4,148.6,935.0,60.0
1968,4,10,12,6,13.1,147.9,937.0,60.0
1968,4,10,18,6,13.6,147.2,935.0,60.0
1968,4,11,0,6,14.2,146.5,934.0,65.0
1968,4,11,6,6,15.0,145.9,928.0,70.0
1968,4,11,12,6,15.5,145.4,939.0,65.0
1968,4,11,18,6,16.1,145.0,944.0,60.0
1968,4,12,0,6,16.7,144.8,949.0,55.0
1968,4,12,6,5,17.6,144.8,956.0,50.0
1968,4,12,12,5,18.5,145.0,961.0,45.0
1968,4,12,18,5,19.2,145.2,962.0,45.0
1968,4,13,0,4,19.8,145.3,964.0,40.0
1968,4,13,6,4,20.2,145.4,970.0,40.0
1968,4,13,12,4,20.5,145.5,977.0,35.0
1968,4,13,18,4,20.7,145.4,981.0,35.0
1968,4,14,0,3,20.8,145.0,984.0,30.0
1968,4,14,6,3,20.5,144.9,990.0,30.0
1968,4,14,12,3,20.8,145.1,995.0,25.0
1968,4,14,18,3,21.3,145.2,997.0,25.0
1968,4,15,0,3,21.7,145.3,998.0,25.0
1968,4,15,6,2,21.9,145.3,999.0,20.0
1968,4,15,12,2,22.1,145.4,1000.0,20.0
1968,4,15,18,2,22.3,145.5,1000.0,20.0
1968,4,16,0,2,22.5,145.7,1000.0,20.0
1968,4,16,6,2,22.7,145.9,1002.0,20.0
1968,4,16,12,2,22.9,146.1,1002.0,20.0
1968,4,16,18,2,23.2,146.2,1002.0,20.0
1968,4,17,0,1,23.4,146.0,1004.0,15.0
1968,4,17,6,1,23.6,145.7,1004.0,15.0
1968,4,17,12,1,23.6,145.4,1004.0,15.0
1968,4,17,18,1,23.7,144.9,1004.0,15.0
1968,4,18,0,1,23.9,144.3,1004.0,15.0
1968,4,18,6,1,24.3,143.8,1006.0,15.0
1968,4,18,12,1,24.9,143.6,1006.0,15.0
1968,4,18,18,1,25.9,144.1,1006.0,15.0
1968,4,19,0,1,27.0,145.0,1006.0,15.0
1968,4,19,6,0,28.0,145.8,1006.0,0.0
1968,4,19,12,0,29.0,147.0,1006.0,0.0
1968,4,19,18,0,30.0,149.0,1006.0,0.0
