year,month,day,hour,power,lat,lng,PRES,WND
1968,10,26,0,0,10.0,166.0,1008.0,0.0
1968,10,26,6,0,10.0,165.5,1008.0,0.0
1968,10,26,12,0,10.0,164.8,1008.0,0.0
1968,10,26,18,0,10.0,164.2,1008.0,0.0
1968,10,27,0,0,10.0,163.5,1008.0,0.0
1968,10,27,6,0,10.0,162.9,1006.0,0.0
1968,10,27,12,0,10.0,162.3,1006.0,0.0
1968,10,27,18,0,10.0,161.7,1006.0,0.0
1968,10,28,0,0,9.9,161.0,1006.0,0.0
1968,10,28,6,0,9.6,159.5,1006.0,0.0
1968,10,28,12,0,9.2,158.0,1006.0,0.0
1968,10,28,18,0,8.7,156.6,1006.0,0.0
1968,10,29,0,0,8.3,155.2,1004.0,0.0
1968,10,29,6,0,8.1,154.2,1004.0,0.0
1968,10,29,12,0,7.9,153.1,1004.0,0.0
1968,10,29,18,1,7.9,152.1,1004.0,15.0
1968,10,30,0,1,8.0,151.1,1004.0,15.0
1968,10,30,6,1,8.0,150.6,1003.0,15.0
1968,10,30,12,1,8.0,150.2,1003.0,15.0
1968,10,30,18,1,8.1,149.8,1002.0,15.0
1968,10,31,0,1,8.2,149.3,1002.0,15.0
1968,10,31,6,1,8.5,148.8,1002.0,15.0
1968,10,31,12,1,9.4,148.3,1002.0,15.0
1968,10,31,18,2,11.1,147.8,997.0,20.0
1968,11,1,0,3,12.5,147.4,992.0,25.0
1968,11,1,6,3,13.7,147.1,996.0,25.0
1968,11,1,12,2,14.3,146.9,999.0,20.0
1968,11,1,18,3,14.7,146.3,992.0,25.0
1968,11,2,0,3,15.2,146.3,982.0,30.0
1968,11,2,6,4,15.8,146.1,979.0,35.0
1968,11,2,12,4,16.4,146.1,977.0,35.0
1968,11,2,18,4,17.4,146.1,976.0,35.0
1968,11,3,0,4,18.3,145.9,971.0,35.0
1968,11,3,6,4,19.5,146.3,966.0,40.0
1968,11,3,12,5,20.7,146.8,963.0,45.0
1968,11,3,18,5,22.3,146.8,960.0,50.0
1968,11,4,0,5,24.2,147.2,960.0,50.0
1968,11,4,6,5,26.5,148.5,964.0,45.0
1968,11,4,12,4,28.7,150.7,971.0,35.0
1968,11,4,18,3,30.6,153.8,977.0,30.0
1968,11,5,0,3,33.4,158.0,980.0,25.0
1968,11,5,6,3,34.9,162.0,985.0,25.0
1968,11,5,12,9,35.3,166.7,985.0,25.0
1968,11,5,18,9,35.2,171.4,985.0,25.0
1968,11,6,0,9,34.4,176.4,988.0,25.0
