year,month,day,hour,power,lat,lng,PRES,WND
1968,8,5,0,0,15.0,141.0,1008.0,0.0
1968,8,5,6,0,15.0,140.2,1006.0,0.0
1968,8,5,12,0,14.9,139.3,1006.0,0.0
1968,8,5,18,0,14.9,138.3,1006.0,0.0
1968,8,6,0,0,14.9,137.4,1006.0,0.0
1968,8,6,6,0,15.0,136.4,1006.0,0.0
1968,8,6,12,0,15.1,135.6,1005.0,0.0
1968,8,6,18,0,15.2,134.7,1005.0,0.0
1968,8,7,0,0,15.2,133.8,1005.0,0.0
1968,8,7,6,0,15.3,132.9,1004.0,0.0
1968,8,7,12,0,15.4,132.2,1004.0,0.0
1968,8,7,18,0,15.6,131.3,1004.0,0.0
1968,8,8,0,0,15.8,130.5,1004.0,0.0
1968,8,8,6,0,16.1,129.6,1002.0,0.0
1968,8,8,12,0,16.3,128.8,1002.0,0.0
1968,8,8,18,0,16.6,128.0,1002.0,0.0
1968,8,9,0,1,16.8,127.2,1002.0,15.0
1968,8,9,6,1,17.0,126.4,998.0,15.0
1968,8,9,12,1,17.1,125.5,998.0,15.0
1968,8,9,18,1,17.2,124.5,998.0,15.0
1968,8,10,0,2,17.4,122.8,998.0,20.0
1968,8,10,6,2,17.6,121.5,996.0,20.0
1968,8,10,12,3,17.8,120.2,992.0,25.0
1968,8,10,18,3,18.1,118.6,985.0,30.0
1968,8,11,0,4,18.2,116.7,980.0,35.0
1968,8,11,6,4,18.2,115.4,977.0,35.0
1968,8,11,12,4,18.3,114.2,976.0,35.0
1968,8,11,18,4,18.5,113.0,975.0,35.0
1968,8,12,0,4,18.6,112.0,970.0,35.0
1968,8,12,6,4,18.7,111.0,970.0,35.0
1968,8,12,12,3,19.0,110.2,975.0,30.0
1968,8,12,18,3,19.3,109.4,982.0,30.0
1968,8,13,0,3,19.6,108.4,985.0,30.0
1968,8,13,6,3,19.9,107.4,990.0,25.0
1968,8,13,12,2,20.1,106.5,990.0,20.0
1968,8,13,18,1,20.2,105.5,1000.0,15.0
