year,month,day,hour,power,lat,lng,PRES,WND
1969,8,12,18,0,9.5,150.0,1009.0,0.0
1969,8,13,0,0,9.4,149.1,1009.0,0.0
1969,8,13,6,0,9.4,148.0,1007.0,0.0
1969,8,13,12,0,9.5,147.0,1007.0,0.0
1969,8,13,18,0,9.7,145.8,1006.0,0.0
1969,8,14,0,0,9.9,144.6,1004.0,0.0
1969,8,14,6,1,10.3,143.8,1002.0,12.0
1969,8,14,12,1,10.7,143.1,1001.0,12.0
1969,8,14,18,1,11.2,142.3,999.0,15.0
1969,8,15,0,1,11.6,141.4,998.0,15.0
1969,8,15,6,1,12.4,140.6,996.0,15.0
1969,8,15,12,2,13.0,139.8,995.0,20.0
1969,8,15,18,2,13.5,139.1,994.0,20.0
1969,8,16,0,2,14.0,138.3,992.0,20.0
1969,8,16,6,3,14.5,137.4,990.0,25.0
1969,8,16,12,3,15.1,136.3,990.0,25.0
1969,8,16,18,3,16.0,135.2,989.0,25.0
1969,8,17,0,3,16.8,134.3,989.0,25.0
1969,8,17,6,3,17.7,133.2,987.0,25.0
1969,8,17,12,3,18.4,132.3,986.0,25.0
1969,8,17,18,3,19.0,131.1,979.0,30.0
1969,8,18,0,3,20.2,130.1,976.0,30.0
1969,8,18,6,4,21.3,129.5,972.0,35.0
1969,8,18,12,4,22.0,129.0,968.0,40.0
1969,8,18,18,4,22.7,128.4,964.0,40.0
1969,8,19,0,5,23.5,127.9,958.0,45.0
1969,8,19,6,5,24.3,127.5,950.0,45.0
1969,8,19,12,5,25.3,127.3,940.0,50.0
1969,8,19,18,5,25.9,127.2,943.0,50.0
1969,8,20,0,5,26.6,127.2,948.0,45.0
1969,8,20,6,5,27.2,127.2,950.0,45.0
1969,8,20,12,4,27.9,127.3,958.0,40.0
1969,8,20,18,4,28.5,127.5,958.0,40.0
1969,8,21,0,4,29.1,127.8,958.0,40.0
1969,8,21,6,4,29.7,128.0,960.0,40.0
1969,8,21,12,4,30.4,128.4,961.0,40.0
1969,8,21,18,4,30.9,129.1,962.0,40.0
1969,8,22,0,4,31.4,130.1,966.0,40.0
1969,8,22,6,4,32.1,131.8,970.0,35.0
1969,8,22,12,4,33.0,133.4,975.0,35.0
1969,8,22,18,3,34.5,135.9,980.0,30.0
1969,8,23,0,3,36.0,138.0,984.0,25.0
1969,8,23,6,3,37.5,140.0,985.0,25.0
1969,8,23,12,3,39.6,141.8,985.0,25.0
1969,8,23,18,9,41.6,143.0,985.0,25.0
1969,8,24,0,9,43.3,143.8,986.0,25.0
1969,8,24,6,9,44.2,144.0,990.0,20.0
1969,8,24,12,9,45.3,144.0,993.0,15.0
