year,month,day,hour,power,lat,lng,PRES,WND
1969,8,29,0,0,10.0,126.5,1008.0,0.0
1969,8,29,6,0,10.4,125.3,1008.0,0.0
1969,8,29,12,0,10.8,124.2,1008.0,0.0
1969,8,29,18,0,11.4,123.0,1008.0,0.0
1969,8,30,0,0,11.8,121.8,1008.0,0.0
1969,8,30,6,0,12.2,120.7,1007.0,0.0
1969,8,30,12,1,12.8,119.5,1005.0,12.0
1969,8,30,18,1,13.5,118.4,1000.0,15.0
1969,8,31,0,1,14.1,117.4,996.0,15.0
1969,8,31,6,2,14.6,116.5,992.0,20.0
1969,8,31,12,3,15.4,115.4,990.0,25.0
1969,8,31,18,3,16.0,114.1,985.0,30.0
1969,9,1,0,4,16.5,112.5,975.0,35.0
1969,9,1,6,4,16.6,111.4,973.0,35.0
1969,9,1,12,4,16.9,110.1,973.0,35.0
1969,9,1,18,3,17.1,108.8,976.0,30.0
1969,9,2,0,3,17.3,107.6,980.0,25.0
1969,9,2,6,2,17.3,106.3,985.0,20.0
1969,9,2,12,1,17.4,105.3,994.0,15.0
1969,9,2,18,1,17.3,104.0,998.0,15.0
1969,9,3,0,1,17.2,102.5,1000.0,15.0
