year,month,day,hour,power,lat,lng,PRES,WND
1969,9,16,0,0,15.0,165.0,1010.0,0.0
1969,9,16,6,0,15.2,165.0,1008.0,0.0
1969,9,16,12,0,15.4,165.0,1008.0,0.0
1969,9,16,18,0,15.7,165.0,1008.0,0.0
1969,9,17,0,0,16.0,165.0,1008.0,0.0
1969,9,17,6,0,16.3,164.9,1008.0,0.0
1969,9,17,12,0,16.6,164.7,1007.0,0.0
1969,9,17,18,0,16.8,164.4,1005.0,0.0
1969,9,18,0,0,17.1,164.3,1004.0,0.0
1969,9,18,6,0,17.3,164.4,1003.0,10.0
1969,9,18,12,0,17.5,164.4,1001.0,10.0
1969,9,18,18,1,17.6,164.5,999.0,12.0
1969,9,19,0,1,17.7,164.5,997.0,15.0
1969,9,19,6,1,17.8,164.3,994.0,15.0
1969,9,19,12,2,17.7,163.9,991.0,20.0
1969,9,19,18,2,17.4,163.6,989.0,20.0
1969,9,20,0,3,17.4,162.6,985.0,30.0
1969,9,20,6,4,17.2,161.4,981.0,35.0
1969,9,20,12,4,16.7,160.4,978.0,35.0
1969,9,20,18,4,16.7,158.9,973.0,35.0
1969,9,21,0,4,16.6,157.4,968.0,40.0
1969,9,21,6,4,16.5,155.8,962.0,40.0
1969,9,21,12,5,16.5,154.4,956.0,45.0
1969,9,21,18,5,16.4,153.0,948.0,50.0
1969,9,22,0,6,16.5,151.5,940.0,55.0
1969,9,22,6,6,16.7,149.8,931.0,60.0
1969,9,22,12,6,16.9,148.0,921.0,60.0
1969,9,22,18,6,17.4,146.4,910.0,65.0
1969,9,23,0,6,18.0,144.8,900.0,75.0
1969,9,23,6,6,18.3,142.9,893.0,80.0
1969,9,23,12,6,18.7,141.3,888.0,85.0
1969,9,23,18,6,19.4,139.5,888.0,85.0
1969,9,24,0,6,20.0,138.0,891.0,85.0
1969,9,24,6,6,20.6,136.4,898.0,80.0
1969,9,24,12,6,21.3,134.8,900.0,75.0
1969,9,24,18,6,21.7,133.4,900.0,75.0
1969,9,25,0,6,22.2,132.1,904.0,70.0
1969,9,25,6,6,22.5,130.5,904.0,70.0
1969,9,25,12,6,22.8,128.9,910.0,65.0
1969,9,25,18,6,23.3,127.5,916.0,65.0
1969,9,26,0,6,23.4,126.0,922.0,55.0
1969,9,26,6,6,23.8,124.8,923.0,55.0
1969,9,26,12,5,23.9,123.0,924.0,50.0
1969,9,26,18,5,23.8,121.6,931.0,45.0
1969,9,27,0,4,24.2,119.7,941.0,40.0
1969,9,27,6,3,24.6,118.5,965.0,30.0
1969,9,27,12,1,25.1,116.9,990.0,15.0
1969,9,27,18,0,26.0,115.6,995.0,10.0
1969,9,28,0,0,27.0,115.4,1000.0,10.0
1969,9,28,6,0,28.1,115.8,1002.0,10.0
1969,9,28,12,0,29.3,116.1,1004.0,9.0
1969,9,28,18,0,30.5,116.5,1006.0,9.0
1969,9,29,0,9,31.6,117.4,1006.0,9.0
1969,9,29,6,9,32.5,118.5,1007.0,9.0
1969,9,29,12,9,33.8,119.6,1007.0,10.0
1969,9,29,18,9,34.4,121.9,1003.0,20.0
1969,9,30,0,9,34.0,124.2,1003.0,20.0
1969,9,30,6,9,33.0,126.5,1003.0,15.0
1969,9,30,12,9,33.2,129.5,1003.0,10.0
1969,9,30,18,9,35.0,132.8,1002.0,10.0
1969,10,1,0,9,37.5,134.5,1000.0,15.0
1969,10,1,6,9,40.0,136.6,998.0,15.0
1969,10,1,12,9,43.0,139.0,996.0,20.0
1969,10,1,18,9,46.0,141.0,990.0,25.0
1969,10,2,0,9,47.5,142.0,982.0,25.0
