year,month,day,hour,power,lat,lng,PRES,WND
1969,9,28,0,0,23.2,162.5,1010.0,0.0
1969,9,28,6,0,23.4,162.6,1010.0,0.0
1969,9,28,12,0,23.6,162.7,1010.0,0.0
1969,9,28,18,0,23.8,162.9,1010.0,0.0
1969,9,29,0,0,23.9,162.9,1008.0,0.0
1969,9,29,6,1,24.0,163.1,1005.0,15.0
1969,9,29,12,1,24.3,163.4,1005.0,15.0
1969,9,29,18,1,24.5,163.6,1005.0,15.0
1969,9,30,0,2,25.3,163.9,996.0,20.0
1969,9,30,6,3,26.4,164.2,985.0,25.0
1969,9,30,12,3,27.4,164.6,982.0,30.0
1969,9,30,18,4,27.3,166.0,973.0,35.0
1969,10,1,0,4,26.3,166.3,960.0,40.0
1969,10,1,6,4,26.2,166.7,958.0,40.0
1969,10,1,12,4,26.5,166.6,967.0,35.0
1969,10,1,18,4,26.1,166.1,968.0,35.0
1969,10,2,0,4,25.6,165.2,966.0,40.0
1969,10,2,6,5,24.9,164.0,963.0,45.0
1969,10,2,12,5,24.4,162.7,961.0,45.0
1969,10,2,18,5,24.3,161.3,958.0,45.0
1969,10,3,0,5,23.6,159.7,954.0,45.0
1969,10,3,6,5,23.6,157.5,949.0,45.0
1969,10,3,12,5,24.4,155.4,943.0,45.0
1969,10,3,18,5,24.5,153.7,939.0,50.0
1969,10,4,0,5,24.8,152.6,937.0,50.0
1969,10,4,6,5,25.7,151.7,936.0,50.0
1969,10,4,12,5,26.2,150.8,937.0,50.0
1969,10,4,18,5,26.9,150.1,939.0,50.0
1969,10,5,0,5,28.1,149.8,941.0,45.0
1969,10,5,6,5,29.3,150.4,946.0,45.0
1969,10,5,12,5,30.1,151.6,951.0,45.0
1969,10,5,18,5,30.5,153.4,956.0,45.0
1969,10,6,0,4,31.5,155.0,963.0,40.0
1969,10,6,6,4,32.3,157.5,971.0,35.0
1969,10,6,12,3,32.4,159.8,980.0,30.0
1969,10,6,18,3,33.8,161.5,990.0,25.0
1969,10,7,0,3,35.1,163.8,995.0,25.0
1969,10,7,6,3,35.6,166.5,995.0,25.0
1969,10,7,12,2,36.3,169.2,998.0,20.0
1969,10,7,18,9,37.0,172.0,1000.0,15.0
1969,10,8,0,9,38.0,177.0,1000.0,15.0
