year,month,day,hour,power,lat,lng,PRES,WND
1970,11,10,18,0,7.8,128.0,1008.0,0.0
1970,11,11,0,0,8.4,127.4,1007.0,0.0
1970,11,11,6,0,9.3,126.8,1007.0,0.0
1970,11,11,12,0,10.1,126.4,1007.0,0.0
1970,11,11,18,0,10.8,125.7,1007.0,0.0
1970,11,12,0,0,11.3,124.6,1007.0,10.0
1970,11,12,6,0,11.8,123.5,1005.0,10.0
1970,11,12,12,0,12.0,122.5,1005.0,10.0
1970,11,12,18,0,12.1,121.0,1005.0,10.0
1970,11,13,0,1,12.5,119.9,1005.0,12.0
1970,11,13,6,1,12.9,119.3,1005.0,12.0
1970,11,13,12,1,13.6,118.8,1005.0,12.0
1970,11,13,18,1,14.3,118.4,1005.0,12.0
1970,11,14,0,1,15.0,118.0,1004.0,15.0
1970,11,14,6,2,15.4,117.2,1000.0,20.0
1970,11,14,12,2,15.6,115.9,996.0,20.0
1970,11,14,18,2,15.6,115.2,994.0,20.0
1970,11,15,0,3,15.3,114.4,991.0,25.0
1970,11,15,6,3,14.9,114.0,991.0,25.0
1970,11,15,12,3,14.7,113.4,994.0,25.0
1970,11,15,18,2,14.3,112.6,998.0,20.0
1970,11,16,0,2,13.4,111.9,1000.0,20.0
1970,11,16,6,2,12.4,111.3,1002.0,20.0
1970,11,16,12,2,11.6,111.0,1002.0,20.0
1970,11,16,18,2,10.7,110.3,1002.0,20.0
1970,11,17,0,1,9.8,109.5,1004.0,15.0
1970,11,17,6,0,9.0,108.7,1004.0,10.0
1970,11,17,12,0,8.0,107.8,1006.0,10.0
