year,month,day,hour,power,lat,lng,PRES,WND
1970,11,13,18,0,13.0,157.0,1006.0,0.0
1970,11,14,0,1,13.5,154.4,1006.0,12.0
1970,11,14,6,1,14.1,152.2,1006.0,12.0
1970,11,14,12,1,14.8,150.0,1005.0,15.0
1970,11,14,18,2,15.1,148.1,1000.0,20.0
1970,11,15,0,2,15.3,146.1,998.0,20.0
1970,11,15,6,3,15.1,144.8,997.0,25.0
1970,11,15,12,3,14.9,143.8,992.0,30.0
1970,11,15,18,4,14.8,142.4,988.0,35.0
1970,11,16,0,4,15.1,140.8,986.0,40.0
1970,11,16,6,5,15.0,139.3,985.0,45.0
1970,11,16,12,5,14.9,138.0,982.0,45.0
1970,11,16,18,4,14.7,136.8,975.0,40.0
1970,11,17,0,4,14.7,135.2,967.0,40.0
1970,11,17,6,4,14.6,133.5,956.0,40.0
1970,11,17,12,5,14.5,132.0,944.0,45.0
1970,11,17,18,6,14.5,130.3,935.0,55.0
1970,11,18,0,6,14.4,128.6,926.0,55.0
1970,11,18,6,6,14.4,127.2,915.0,60.0
1970,11,18,12,6,14.5,125.5,905.0,60.0
1970,11,18,18,5,14.5,124.0,915.0,50.0
1970,11,19,0,5,14.6,122.4,915.0,50.0
1970,11,19,6,5,14.7,120.8,950.0,45.0
1970,11,19,12,4,14.8,119.0,970.0,35.0
1970,11,19,18,4,15.4,117.4,987.0,35.0
1970,11,20,0,3,15.8,115.6,988.0,25.0
1970,11,20,6,3,15.6,115.4,988.0,25.0
1970,11,20,12,3,15.8,114.5,989.0,25.0
1970,11,20,18,3,15.9,113.4,990.0,25.0
1970,11,21,0,3,15.9,112.0,995.0,25.0
1970,11,21,6,3,16.1,110.4,995.0,25.0
1970,11,21,12,3,16.4,109.4,996.0,25.0
1970,11,21,18,2,16.8,108.3,1000.0,20.0
1970,11,22,0,1,16.9,107.0,1000.0,15.0
1970,11,22,6,0,16.6,106.3,1005.0,10.0
