year,month,day,hour,power,lat,lng,PRES,WND
1971,10,10,12,1,15.5,120.4,990.0,15.0
1971,10,10,18,2,15.3,119.3,984.0,20.0
1971,10,11,0,3,15.4,118.5,982.0,30.0
1971,10,11,6,4,15.1,118.7,982.0,35.0
1971,10,11,12,4,14.5,119.2,985.0,35.0
1971,10,11,18,4,14.2,119.8,985.0,35.0
1971,10,12,0,4,14.0,120.0,985.0,35.0
1971,10,12,6,4,13.8,119.9,988.0,35.0
1971,10,12,12,3,14.6,121.3,990.0,25.0
1971,10,12,18,3,14.9,122.0,990.0,25.0
1971,10,13,0,3,15.3,122.7,990.0,25.0
1971,10,13,6,3,16.1,123.8,990.0,25.0
1971,10,13,12,3,17.0,124.7,990.0,25.0
1971,10,13,18,3,17.6,125.1,990.0,25.0
1971,10,14,0,3,17.9,125.2,990.0,25.0
1971,10,14,6,3,18.3,125.0,995.0,25.0
1971,10,14,12,2,17.6,124.3,998.0,20.0
1971,10,14,18,1,16.7,124.2,1000.0,15.0
