year,month,day,hour,power,lat,lng,PRES,WND
1971,10,18,12,0,11.2,131.8,1006.0,10.0
1971,10,18,18,0,10.6,131.4,1006.0,10.0
1971,10,19,0,0,9.8,131.1,1006.0,10.0
1971,10,19,6,1,9.5,130.4,1003.0,12.0
1971,10,19,12,1,9.3,129.7,1000.0,15.0
1971,10,19,18,1,9.2,128.5,1000.0,15.0
1971,10,20,0,2,9.3,127.0,992.0,20.0
1971,10,20,6,2,9.6,125.7,990.0,20.0
1971,10,20,12,2,10.0,123.8,994.0,20.0
1971,10,20,18,2,10.0,122.6,991.0,20.0
1971,10,21,0,4,9.8,121.2,989.0,35.0
1971,10,21,6,4,10.2,119.9,983.0,40.0
1971,10,21,12,4,11.1,118.4,985.0,40.0
1971,10,21,18,4,11.7,116.9,980.0,40.0
1971,10,22,0,4,12.2,115.5,975.0,40.0
1971,10,22,6,4,13.0,113.8,975.0,40.0
1971,10,22,12,4,13.8,111.8,972.0,40.0
1971,10,22,18,4,14.3,110.4,967.0,40.0
1971,10,23,0,4,14.8,109.5,973.0,40.0
1971,10,23,6,4,15.6,108.4,975.0,35.0
1971,10,23,12,3,16.3,107.4,985.0,30.0
1971,10,23,18,2,16.9,105.8,995.0,20.0
