year,month,day,hour,power,lat,lng,PRES,WND
1971,4,7,0,0,8.9,147.3,1004.0,10.0
1971,4,7,6,0,9.4,146.5,1004.0,10.0
1971,4,7,12,0,9.7,145.6,1002.0,10.0
1971,4,7,18,0,9.9,144.9,1002.0,10.0
1971,4,8,0,0,10.0,144.0,1002.0,10.0
1971,4,8,6,0,10.1,143.0,1002.0,10.0
1971,4,8,12,0,10.0,141.9,1002.0,10.0
1971,4,8,18,0,10.1,140.9,1001.0,10.0
1971,4,9,0,1,10.3,140.1,1000.0,12.0
1971,4,9,6,1,10.7,139.4,1000.0,12.0
1971,4,9,12,1,11.3,139.1,1000.0,15.0
1971,4,9,18,1,11.7,138.7,1000.0,15.0
1971,4,10,0,1,11.9,138.2,998.0,15.0
1971,4,10,6,1,12.1,137.8,997.0,15.0
1971,4,10,12,1,12.3,137.3,997.0,15.0
1971,4,10,18,1,12.4,136.8,997.0,15.0
1971,4,11,0,1,12.5,136.4,997.0,15.0
1971,4,11,6,2,12.6,135.9,996.0,20.0
1971,4,11,12,2,12.7,135.4,996.0,20.0
1971,4,11,18,2,12.8,134.9,996.0,20.0
1971,4,12,0,2,12.9,134.3,992.0,20.0
1971,4,12,6,2,13.1,133.6,992.0,20.0
1971,4,12,12,2,13.6,132.9,986.0,20.0
1971,4,12,18,3,13.9,132.1,986.0,25.0
1971,4,13,0,3,14.4,131.4,982.0,25.0
1971,4,13,6,3,14.9,131.0,982.0,25.0
1971,4,13,12,3,15.7,130.4,980.0,25.0
1971,4,13,18,3,16.4,129.4,980.0,30.0
1971,4,14,0,3,16.8,128.5,976.0,30.0
1971,4,14,6,3,17.5,128.0,976.0,30.0
1971,4,14,12,4,17.8,127.4,968.0,35.0
1971,4,14,18,4,18.0,126.9,964.0,40.0
1971,4,15,0,5,18.0,126.5,960.0,45.0
1971,4,15,6,4,18.1,126.0,964.0,40.0
1971,4,15,12,4,18.3,125.6,964.0,40.0
1971,4,15,18,4,18.8,125.7,964.0,40.0
1971,4,16,0,4,19.2,125.9,968.0,40.0
1971,4,16,6,4,20.1,126.2,971.0,40.0
1971,4,16,12,4,20.7,126.4,976.0,35.0
1971,4,16,18,3,21.6,126.8,980.0,30.0
1971,4,17,0,3,22.4,127.4,980.0,30.0
1971,4,17,6,3,23.4,128.2,984.0,30.0
1971,4,17,12,3,24.5,129.4,985.0,30.0
1971,4,17,18,2,25.3,131.1,990.0,20.0
1971,4,18,0,2,25.8,132.4,995.0,20.0
1971,4,18,6,2,26.2,133.8,995.0,20.0
1971,4,18,12,2,26.6,135.4,995.0,20.0
1971,4,18,18,1,26.8,136.9,1000.0,15.0
1971,4,19,0,1,27.0,138.6,1000.0,15.0
1971,4,19,6,9,27.1,140.4,1001.0,15.0
1971,4,19,12,9,27.6,143.3,1001.0,15.0
1971,4,19,18,9,28.6,146.1,1002.0,15.0
1971,4,20,0,9,30.5,149.0,1002.0,15.0
1971,4,20,6,9,33.1,151.9,1002.0,0.0
1971,4,20,12,9,35.4,155.2,1002.0,0.0
1971,4,20,18,9,37.5,159.0,1002.0,0.0
1971,4,21,0,9,39.0,163.0,1002.0,0.0
1971,4,21,6,9,40.2,166.6,1002.0,0.0
1971,4,21,12,9,41.6,170.3,1002.0,0.0
