year,month,day,hour,power,lat,lng,PRES,WND
1972,8,8,12,1,11.6,150.3,1006.0,15.0
1972,8,8,18,1,11.7,149.9,1005.0,15.0
1972,8,9,0,1,11.8,149.5,1003.0,15.0
1972,8,9,6,1,12.3,149.1,1000.0,15.0
1972,8,9,12,2,13.0,148.5,998.0,20.0
1972,8,9,18,2,13.7,148.1,993.0,20.0
1972,8,10,0,3,14.6,147.3,990.0,25.0
1972,8,10,6,3,15.4,146.5,985.0,25.0
1972,8,10,12,3,16.3,145.6,985.0,25.0
1972,8,10,18,3,16.8,144.5,985.0,25.0
1972,8,11,0,3,17.2,143.5,985.0,25.0
1972,8,11,6,3,17.7,142.5,985.0,25.0
1972,8,11,12,3,18.3,141.7,985.0,25.0
1972,8,11,18,3,18.6,140.8,982.0,25.0
1972,8,12,0,4,18.6,139.8,970.0,35.0
1972,8,12,6,4,18.7,138.7,960.0,40.0
1972,8,12,12,4,18.8,137.5,956.0,40.0
1972,8,12,18,4,18.9,136.2,950.0,40.0
1972,8,13,0,5,18.9,135.3,946.0,45.0
1972,8,13,6,5,19.0,134.4,935.0,45.0
1972,8,13,12,5,19.0,133.6,927.0,45.0
1972,8,13,18,5,19.3,132.7,920.0,50.0
1972,8,14,0,5,19.6,131.9,918.0,50.0
1972,8,14,6,5,20.0,131.0,916.0,50.0
1972,8,14,12,5,20.3,130.0,921.0,50.0
1972,8,14,18,5,20.9,129.0,924.0,50.0
1972,8,15,0,6,21.1,127.9,922.0,60.0
1972,8,15,6,6,21.5,126.9,916.0,60.0
1972,8,15,12,6,22.1,126.5,910.0,60.0
1972,8,15,18,6,23.1,126.0,920.0,60.0
1972,8,16,0,6,23.8,125.1,926.0,55.0
1972,8,16,6,6,24.8,124.2,930.0,55.0
1972,8,16,12,5,25.2,123.1,937.0,50.0
1972,8,16,18,5,25.9,122.1,937.0,50.0
1972,8,17,0,5,26.6,121.5,945.0,50.0
1972,8,17,6,5,27.2,120.9,955.0,45.0
1972,8,17,12,4,27.7,119.8,972.0,35.0
1972,8,17,18,1,27.8,118.9,985.0,15.0
1972,8,18,0,0,28.1,118.0,990.0,10.0
1972,8,18,6,0,28.1,117.3,990.0,10.0
1972,8,18,12,0,28.1,116.4,990.0,10.0
1972,8,18,18,0,28.0,115.8,995.0,9.0
1972,8,19,0,0,27.9,114.8,995.0,9.0
1972,8,19,6,0,27.8,114.8,998.0,9.0
1972,8,19,12,0,27.4,115.1,1002.0,10.0
1972,8,19,18,0,27.0,115.3,1004.0,10.0
1972,8,20,0,0,26.5,115.5,1006.0,10.0
