year,month,day,hour,power,lat,lng,PRES,WND
1972,9,30,6,0,18.0,117.0,1006.0,10.0
1972,9,30,12,1,17.4,116.4,1002.0,15.0
1972,9,30,18,2,17.2,115.5,1000.0,20.0
1972,10,1,0,3,17.1,114.5,995.0,30.0
1972,10,1,6,4,17.4,113.6,990.0,40.0
1972,10,1,12,4,17.6,112.2,990.0,35.0
1972,10,1,18,4,17.7,110.8,990.0,35.0
1972,10,2,0,3,17.8,109.7,992.0,30.0
1972,10,2,6,3,18.1,108.4,992.0,30.0
1972,10,2,12,3,18.4,107.3,995.0,25.0
1972,10,2,18,3,18.4,106.3,995.0,25.0
1972,10,3,0,1,17.4,104.5,1000.0,15.0
1972,10,3,6,0,17.4,103.0,1005.0,10.0
1972,10,3,12,0,17.5,101.5,1006.0,9.0
