year,month,day,hour,power,lat,lng,PRES,WND
1972,6,21,18,0,11.0,137.2,1008.0,0.0
1972,6,22,0,0,10.9,136.0,1008.0,0.0
1972,6,22,6,0,10.8,134.9,1008.0,0.0
1972,6,22,12,0,10.8,133.8,1006.0,10.0
1972,6,22,18,1,10.8,132.8,1006.0,12.0
1972,6,23,0,1,10.8,131.8,1004.0,12.0
1972,6,23,6,1,10.9,130.8,1004.0,15.0
1972,6,23,12,1,10.9,129.8,998.0,15.0
1972,6,23,18,3,11.0,128.6,995.0,25.0
1972,6,24,0,4,11.3,127.4,984.0,40.0
1972,6,24,6,4,11.9,126.2,981.0,40.0
1972,6,24,12,4,12.5,125.0,984.0,35.0
1972,6,24,18,4,13.2,123.6,985.0,35.0
1972,6,25,0,4,14.1,122.0,985.0,35.0
1972,6,25,6,4,14.8,120.4,985.0,35.0
1972,6,25,12,4,15.8,118.7,985.0,35.0
1972,6,25,18,4,16.8,116.8,987.0,35.0
1972,6,26,0,4,17.8,115.3,987.0,35.0
1972,6,26,6,4,18.5,114.0,987.0,35.0
1972,6,26,12,4,19.2,113.0,989.0,35.0
1972,6,26,18,4,20.1,111.9,990.0,35.0
1972,6,27,0,3,20.9,111.3,990.0,30.0
1972,6,27,6,1,21.9,111.0,997.0,15.0
1972,6,27,12,1,22.3,109.9,998.0,12.0
1972,6,27,18,0,22.5,109.2,1000.0,10.0
1972,6,28,0,0,22.6,108.4,1000.0,10.0
1972,6,28,6,0,22.3,107.5,1000.0,10.0
