year,month,day,hour,power,lat,lng,PRES,WND
1973,8,9,0,0,26.0,155.8,1010.0,0.0
1973,8,9,6,0,26.0,154.9,1010.0,0.0
1973,8,9,12,0,26.3,153.7,1006.0,0.0
1973,8,9,18,1,26.8,152.7,1004.0,15.0
1973,8,10,0,3,27.5,152.0,996.0,25.0
1973,8,10,6,3,28.2,151.5,996.0,25.0
1973,8,10,12,3,28.9,151.0,996.0,25.0
1973,8,10,18,2,29.6,150.4,1000.0,20.0
1973,8,11,0,2,30.2,149.7,1000.0,20.0
1973,8,11,6,2,30.7,149.0,1000.0,20.0
1973,8,11,12,2,31.2,148.2,1000.0,20.0
1973,8,11,18,2,31.6,147.2,1000.0,20.0
1973,8,12,0,2,31.8,146.2,1000.0,20.0
1973,8,12,6,1,32.0,145.0,1004.0,15.0
1973,8,12,12,0,32.4,143.6,1008.0,10.0
1973,8,12,18,0,33.5,142.8,1010.0,10.0
1973,8,13,0,0,34.8,142.5,1010.0,10.0
1973,8,13,6,0,36.0,142.3,1012.0,10.0
1973,8,13,12,0,37.1,142.0,1012.0,10.0
