year,month,day,hour,power,lat,lng,PRES,WND
1975,11,6,18,0,12.8,149.1,1005.0,10.0
1975,11,7,0,0,13.1,149.6,1005.0,10.0
1975,11,7,6,1,13.7,149.7,1000.0,15.0
1975,11,7,12,1,14.4,149.3,996.0,15.0
1975,11,7,18,1,14.7,148.8,996.0,15.0
1975,11,8,0,2,15.2,148.5,992.0,20.0
1975,11,8,6,3,16.3,148.3,990.0,25.0
1975,11,8,12,3,17.4,148.0,985.0,25.0
1975,11,8,18,3,17.9,147.4,985.0,25.0
1975,11,9,0,3,18.4,146.4,980.0,30.0
1975,11,9,6,3,19.2,145.7,975.0,30.0
1975,11,9,12,4,20.2,145.4,970.0,35.0
1975,11,9,18,4,21.2,145.5,965.0,40.0
1975,11,10,0,4,22.3,145.8,962.0,40.0
1975,11,10,6,4,24.2,146.3,962.0,40.0
1975,11,10,12,4,26.5,147.2,960.0,40.0
1975,11,10,18,4,28.7,148.0,950.0,40.0
1975,11,11,0,4,31.6,149.6,950.0,40.0
1975,11,11,6,4,34.4,151.3,955.0,40.0
1975,11,11,12,9,37.5,153.0,965.0,40.0
1975,11,11,18,9,39.4,154.3,975.0,35.0
1975,11,12,0,9,40.9,156.0,980.0,30.0
1975,11,12,6,9,41.9,158.6,985.0,25.0
1975,11,12,12,9,42.6,161.3,990.0,25.0
1975,11,12,18,9,43.0,163.5,995.0,20.0
1975,11,13,0,9,43.0,166.0,995.0,20.0
1975,11,13,6,9,43.0,168.5,995.0,20.0
1975,11,13,12,9,43.0,171.0,995.0,20.0
