year,month,day,hour,power,lat,lng,PRES,WND
1975,9,5,0,1,14.0,129.8,1002.0,15.0
1975,9,5,6,1,14.4,130.5,1002.0,15.0
1975,9,5,12,2,14.9,131.1,996.0,20.0
1975,9,5,18,2,15.6,131.6,995.0,20.0
1975,9,6,0,2,16.5,132.1,995.0,20.0
1975,9,6,6,2,17.4,132.6,995.0,20.0
1975,9,6,12,3,18.2,133.2,990.0,25.0
1975,9,6,18,3,18.6,133.6,990.0,25.0
1975,9,7,0,2,19.1,134.1,996.0,20.0
1975,9,7,6,1,19.6,134.6,1000.0,15.0
1975,9,7,12,1,20.2,135.5,1004.0,12.0
1975,9,7,18,0,21.0,136.8,1004.0,10.0
1975,9,8,0,0,21.4,138.0,1004.0,10.0
1975,9,8,6,0,21.7,139.1,1005.0,10.0
