year,month,day,hour,power,lat,lng,PRES,WND
1976,9,13,0,1,14.3,145.6,997.0,12.0
1976,9,13,6,1,14.2,145.4,997.0,15.0
1976,9,13,12,1,14.1,145.0,996.0,15.0
1976,9,13,18,2,14.2,144.5,996.0,20.0
1976,9,14,0,2,14.4,144.5,996.0,20.0
1976,9,14,6,2,15.1,145.4,996.0,20.0
1976,9,14,12,2,14.8,146.6,996.0,20.0
1976,9,14,18,1,14.6,148.1,996.0,15.0
1976,9,15,0,1,15.4,149.4,996.0,15.0
1976,9,15,6,0,16.9,150.3,996.0,10.0
1976,9,15,12,0,18.4,150.9,996.0,0.0
1976,9,15,18,0,19.9,151.5,996.0,0.0
1976,9,16,0,0,21.5,152.0,996.0,0.0
1976,9,16,6,0,22.9,152.4,996.0,0.0
1976,9,16,12,0,24.5,152.5,996.0,0.0
