year,month,day,hour,power,lat,lng,PRES,WND
1978,8,9,12,0,17.0,142.0,1005.0,10.0
1978,8,9,18,0,17.3,143.0,1004.0,10.0
1978,8,10,0,0,17.4,143.9,1004.0,10.0
1978,8,10,6,1,17.0,145.0,1002.0,12.0
1978,8,10,12,1,16.5,145.8,1000.0,15.0
1978,8,10,18,1,15.6,145.5,1000.0,15.0
1978,8,11,0,2,15.3,144.8,996.0,20.0
1978,8,11,6,3,15.7,144.5,994.0,25.0
1978,8,11,12,3,15.8,144.4,990.0,25.0
1978,8,11,18,3,15.9,144.3,986.0,25.0
1978,8,12,0,3,16.1,144.2,982.0,30.0
1978,8,12,6,3,16.8,143.9,980.0,30.0
1978,8,12,12,3,17.8,143.2,980.0,30.0
1978,8,12,18,3,18.9,142.3,980.0,30.0
1978,8,13,0,4,19.9,141.1,976.0,35.0
1978,8,13,6,4,21.1,139.5,975.0,35.0
1978,8,13,12,4,22.0,137.9,975.0,35.0
1978,8,13,18,4,22.6,136.5,975.0,35.0
1978,8,14,0,4,23.2,134.9,970.0,40.0
1978,8,14,6,4,24.1,133.3,970.0,40.0
1978,8,14,12,4,25.1,131.9,965.0,40.0
1978,8,14,18,4,25.9,130.1,965.0,40.0
1978,8,15,0,4,26.4,128.6,965.0,40.0
1978,8,15,6,4,27.1,127.2,965.0,40.0
1978,8,15,12,4,27.6,125.7,965.0,40.0
1978,8,15,18,4,28.0,124.6,965.0,40.0
1978,8,16,0,4,28.2,124.1,965.0,40.0
1978,8,16,6,4,28.4,123.8,965.0,35.0
1978,8,16,12,4,28.7,123.5,968.0,35.0
1978,8,16,18,4,28.7,123.2,970.0,35.0
1978,8,17,0,4,28.7,123.0,975.0,35.0
1978,8,17,6,3,28.6,123.1,975.0,30.0
1978,8,17,12,3,28.4,123.2,980.0,30.0
1978,8,17,18,3,28.2,123.5,980.0,30.0
1978,8,18,0,3,28.0,123.9,980.0,30.0
1978,8,18,6,3,28.1,124.2,982.0,30.0
1978,8,18,12,3,28.4,123.6,985.0,25.0
1978,8,18,18,3,28.7,124.9,988.0,25.0
1978,8,19,0,3,29.0,125.3,988.0,25.0
1978,8,19,6,3,29.9,125.6,988.0,25.0
1978,8,19,12,2,31.7,125.5,990.0,20.0
1978,8,19,18,2,33.4,125.5,990.0,20.0
1978,8,20,0,2,34.7,126.7,995.0,20.0
1978,8,20,6,1,35.7,128.0,998.0,15.0
1978,8,20,12,0,37.0,130.0,1003.0,10.0
