year,month,day,hour,power,lat,lng,PRES,WND
1978,10,15,0,0,13.0,163.0,1004.0,0.0
1978,10,15,6,0,14.5,162.5,1004.0,0.0
1978,10,15,12,1,15.5,161.5,1000.0,12.0
1978,10,15,18,1,15.6,161.1,1000.0,12.0
1978,10,16,0,1,15.7,160.7,996.0,15.0
1978,10,16,6,2,15.9,160.3,992.0,20.0
1978,10,16,12,3,16.1,159.8,992.0,25.0
1978,10,16,18,3,16.4,159.2,985.0,25.0
1978,10,17,0,3,17.0,158.5,980.0,30.0
1978,10,17,6,3,17.6,157.8,980.0,30.0
1978,10,17,12,3,18.3,157.1,970.0,30.0
1978,10,17,18,4,19.0,156.3,965.0,35.0
1978,10,18,0,4,19.7,155.6,955.0,40.0
1978,10,18,6,5,20.3,155.3,953.0,45.0
1978,10,18,12,5,21.0,155.2,955.0,45.0
1978,10,18,18,5,21.6,155.3,955.0,45.0
1978,10,19,0,5,22.1,155.4,955.0,45.0
1978,10,19,6,5,22.7,155.5,955.0,45.0
1978,10,19,12,5,23.2,155.6,955.0,45.0
1978,10,19,18,5,23.7,155.6,955.0,45.0
1978,10,20,0,5,24.3,155.3,955.0,45.0
1978,10,20,6,5,24.8,154.8,955.0,45.0
1978,10,20,12,4,25.4,154.2,955.0,40.0
1978,10,20,18,4,26.3,153.7,955.0,40.0
1978,10,21,0,4,27.2,153.0,955.0,40.0
1978,10,21,6,4,28.2,152.6,955.0,35.0
1978,10,21,12,4,29.0,153.8,955.0,35.0
1978,10,21,18,4,29.6,155.8,960.0,35.0
1978,10,22,0,3,32.0,159.7,965.0,30.0
1978,10,22,6,3,35.0,164.0,970.0,25.0
1978,10,22,12,3,38.4,168.4,970.0,25.0
1978,10,22,18,2,41.5,173.2,980.0,20.0
