year,month,day,hour,power,lat,lng,PRES,WND
1979,12,19,6,0,9.0,136.5,1008.0,10.0
1979,12,19,12,0,9.3,134.7,1008.0,10.0
1979,12,19,18,0,9.8,133.0,1008.0,10.0
1979,12,20,0,0,10.4,131.2,1008.0,10.0
1979,12,20,6,1,11.0,130.0,1005.0,12.0
1979,12,20,12,1,11.4,129.2,1003.0,15.0
1979,12,20,18,2,11.5,128.2,1000.0,20.0
1979,12,21,0,3,11.5,127.1,996.0,25.0
1979,12,21,6,3,11.6,125.7,996.0,25.0
1979,12,21,12,3,11.9,124.3,996.0,25.0
1979,12,21,18,3,12.3,123.0,996.0,25.0
1979,12,22,0,3,12.7,121.4,996.0,25.0
1979,12,22,6,3,13.4,120.2,996.0,25.0
1979,12,22,12,3,14.0,119.4,996.0,25.0
1979,12,22,18,3,15.0,119.3,996.0,25.0
1979,12,23,0,2,16.0,119.5,1000.0,20.0
1979,12,23,6,1,17.8,120.8,1004.0,15.0
1979,12,23,12,0,19.5,123.0,1007.0,10.0
