year,month,day,hour,power,lat,lng,PRES,WND
1979,4,10,0,0,6.0,142.5,1006.0,10.0
1979,4,10,6,1,6.1,141.3,1004.0,12.0
1979,4,10,12,1,6.2,140.5,1004.0,12.0
1979,4,10,18,1,6.2,140.0,1002.0,12.0
1979,4,11,0,1,6.4,139.7,1000.0,15.0
1979,4,11,6,1,6.7,139.1,998.0,15.0
1979,4,11,12,1,6.8,138.6,998.0,15.0
1979,4,11,18,1,7.0,137.9,998.0,15.0
1979,4,12,0,2,6.9,137.1,996.0,20.0
1979,4,12,6,2,6.8,136.6,995.0,20.0
1979,4,12,12,2,7.1,135.9,994.0,20.0
1979,4,12,18,3,7.3,135.4,993.0,25.0
1979,4,13,0,3,7.5,135.0,990.0,25.0
1979,4,13,6,3,7.8,134.2,990.0,25.0
1979,4,13,12,3,8.0,133.5,990.0,25.0
1979,4,13,18,3,8.1,132.6,988.0,30.0
1979,4,14,0,3,8.3,131.6,985.0,30.0
1979,4,14,6,3,8.3,130.4,980.0,30.0
1979,4,14,12,4,8.7,129.4,975.0,35.0
1979,4,14,18,4,8.9,128.5,970.0,40.0
1979,4,15,0,5,9.3,127.4,965.0,45.0
1979,4,15,6,5,10.0,126.4,966.0,45.0
1979,4,15,12,4,10.7,125.4,966.0,40.0
1979,4,15,18,4,11.4,124.6,970.0,40.0
1979,4,16,0,4,11.9,123.5,970.0,35.0
1979,4,16,6,4,12.3,122.7,975.0,35.0
1979,4,16,12,4,12.7,122.3,975.0,35.0
1979,4,16,18,4,12.8,122.2,975.0,35.0
1979,4,17,0,3,13.0,122.2,980.0,30.0
1979,4,17,6,3,13.3,122.2,980.0,30.0
1979,4,17,12,3,13.8,122.6,985.0,25.0
1979,4,17,18,3,14.2,122.8,985.0,25.0
1979,4,18,0,3,14.7,123.3,988.0,25.0
1979,4,18,6,3,15.2,123.6,988.0,25.0
1979,4,18,12,3,15.8,124.0,990.0,25.0
1979,4,18,18,3,16.3,124.4,990.0,25.0
1979,4,19,0,3,17.0,125.2,990.0,25.0
1979,4,19,6,3,17.3,126.0,990.0,25.0
1979,4,19,12,3,18.3,127.0,990.0,25.0
1979,4,19,18,3,19.7,128.0,990.0,25.0
1979,4,20,0,3,21.0,129.1,990.0,25.0
1979,4,20,6,2,22.3,131.6,995.0,20.0
1979,4,20,12,2,22.3,134.1,995.0,20.0
1979,4,20,18,2,22.3,134.1,998.0,20.0
1979,4,21,0,9,22.7,136.1,1002.0,15.0
1979,4,21,6,9,23.0,138.0,1004.0,12.0
1979,4,21,12,9,23.0,140.0,1007.0,12.0
