year,month,day,hour,power,lat,lng,PRES,WND
1979,8,31,0,1,24.5,137.7,1006.0,12.0
1979,8,31,6,1,24.7,137.0,1004.0,12.0
1979,8,31,12,1,24.8,136.0,1004.0,12.0
1979,8,31,18,1,25.0,135.0,1004.0,12.0
1979,9,1,0,1,25.0,134.0,1004.0,12.0
1979,9,1,6,1,25.0,134.0,1004.0,12.0
1979,9,1,12,1,25.1,133.0,1004.0,12.0
1979,9,1,18,1,25.5,132.3,1004.0,12.0
1979,9,2,0,1,25.9,131.9,1002.0,12.0
1979,9,2,6,1,26.4,131.3,1000.0,15.0
1979,9,2,12,2,27.2,130.8,995.0,20.0
1979,9,2,18,2,28.0,130.6,995.0,20.0
1979,9,3,0,3,28.8,130.5,988.0,25.0
1979,9,3,6,3,29.9,130.7,988.0,25.0
1979,9,3,12,3,31.5,131.2,988.0,25.0
1979,9,3,18,2,32.7,131.9,990.0,20.0
1979,9,4,0,2,33.8,133.3,992.0,20.0
1979,9,4,6,1,35.1,135.0,992.0,15.0
1979,9,4,12,1,36.3,137.0,992.0,15.0
1979,9,4,18,1,38.4,139.8,992.0,15.0
1979,9,5,0,9,40.8,142.4,988.0,20.0
1979,9,5,6,9,42.6,144.5,988.0,20.0
1979,9,5,12,9,44.0,146.5,988.0,20.0
1979,9,5,18,9,45.2,148.1,985.0,20.0
1979,9,6,0,9,46.0,150.0,984.0,20.0
1979,9,6,6,9,46.8,152.5,984.0,20.0
1979,9,6,12,9,47.6,155.0,985.0,20.0
