year,month,day,hour,power,lat,lng,PRES,WND
1980,10,28,0,1,11.2,129.7,1006.0,12.0
1980,10,28,6,1,11.5,128.0,1004.0,15.0
1980,10,28,12,1,12.0,126.2,1004.0,15.0
1980,10,28,18,1,12.7,124.6,1002.0,15.0
1980,10,29,0,1,13.4,123.0,1002.0,15.0
1980,10,29,6,1,14.3,121.4,1000.0,15.0
1980,10,29,12,2,15.0,120.0,995.0,20.0
1980,10,29,18,2,15.5,118.5,995.0,20.0
1980,10,30,0,3,16.1,117.0,990.0,25.0
1980,10,30,6,3,16.5,116.2,990.0,25.0
1980,10,30,12,3,17.0,115.5,990.0,25.0
1980,10,30,18,3,17.0,114.8,990.0,25.0
1980,10,31,0,3,16.1,115.0,990.0,25.0
1980,10,31,6,3,15.1,115.0,990.0,25.0
1980,10,31,12,2,14.0,115.0,995.0,20.0
1980,10,31,18,2,14.4,113.8,995.0,20.0
1980,11,1,0,1,14.5,113.0,1000.0,12.0
1980,11,1,6,1,14.4,112.0,1000.0,12.0
1980,11,1,12,1,14.1,110.9,1002.0,15.0
1980,11,1,18,1,13.8,110.0,1002.0,15.0
1980,11,2,0,1,13.4,109.4,1006.0,12.0
