year,month,day,hour,power,lat,lng,PRES,WND
1981,10,14,0,0,9.5,149.0,1002.0,10.0
1981,10,14,6,0,10.5,148.5,1002.0,10.0
1981,10,14,12,1,11.5,147.5,1000.0,12.0
1981,10,14,18,1,13.0,147.3,1000.0,12.0
1981,10,15,0,1,14.7,147.2,998.0,15.0
1981,10,15,6,1,16.1,147.0,998.0,15.0
1981,10,15,12,2,17.0,146.0,998.0,20.0
1981,10,15,18,2,17.3,144.0,996.0,20.0
1981,10,16,0,2,17.4,142.5,994.0,20.0
1981,10,16,6,2,17.5,141.5,990.0,20.0
1981,10,16,12,3,17.4,140.7,985.0,25.0
1981,10,16,18,3,17.4,140.1,980.0,25.0
1981,10,17,0,3,17.4,139.3,980.0,25.0
1981,10,17,6,3,17.3,138.7,975.0,25.0
1981,10,17,12,3,17.4,138.1,970.0,25.0
1981,10,17,18,3,18.0,137.6,965.0,30.0
1981,10,18,0,4,18.3,136.7,960.0,35.0
1981,10,18,6,4,18.4,135.9,955.0,35.0
1981,10,18,12,4,18.9,134.8,947.0,35.0
1981,10,18,18,4,19.3,133.9,945.0,40.0
1981,10,19,0,4,19.6,132.6,945.0,40.0
1981,10,19,6,4,19.9,131.6,945.0,40.0
1981,10,19,12,4,20.4,130.5,945.0,40.0
1981,10,19,18,5,20.9,129.6,945.0,45.0
1981,10,20,0,5,21.3,128.9,945.0,45.0
1981,10,20,6,5,21.8,128.7,945.0,45.0
1981,10,20,12,5,22.8,128.4,945.0,45.0
1981,10,20,18,5,23.5,128.5,950.0,45.0
1981,10,21,0,4,24.6,129.0,950.0,40.0
1981,10,21,6,4,25.6,129.5,955.0,40.0
1981,10,21,12,4,26.4,130.4,955.0,35.0
1981,10,21,18,4,27.6,132.0,960.0,35.0
1981,10,22,0,3,29.4,133.8,965.0,30.0
1981,10,22,6,3,31.4,136.5,970.0,30.0
1981,10,22,12,3,33.0,139.5,970.0,25.0
1981,10,22,18,2,35.5,142.5,975.0,20.0
1981,10,23,0,9,39.0,147.0,975.0,20.0
1981,10,23,6,9,42.0,154.0,978.0,15.0
