year,month,day,hour,power,lat,lng,PRES,WND
1981,4,14,6,0,4.3,157.5,1005.0,10.0
1981,4,14,12,0,4.7,156.7,1005.0,10.0
1981,4,14,18,0,5.1,155.8,1005.0,10.0
1981,4,15,0,0,5.3,155.0,1005.0,10.0
1981,4,15,6,0,5.5,154.1,1003.0,10.0
1981,4,15,12,1,5.7,153.0,1000.0,12.0
1981,4,15,18,1,6.0,152.0,998.0,15.0
1981,4,16,0,2,6.3,151.3,996.0,20.0
1981,4,16,6,3,7.0,149.7,990.0,25.0
1981,4,16,12,3,7.8,148.0,988.0,25.0
1981,4,16,18,3,8.3,146.6,982.0,30.0
1981,4,17,0,3,9.0,146.0,985.0,30.0
1981,4,17,6,3,10.1,145.9,989.0,25.0
1981,4,17,12,3,11.1,145.9,990.0,25.0
1981,4,17,18,3,11.6,145.6,990.0,25.0
1981,4,18,0,2,12.2,145.7,990.0,20.0
1981,4,18,6,2,12.8,146.0,991.0,20.0
1981,4,18,12,2,13.2,146.2,991.0,20.0
1981,4,18,18,2,14.0,146.8,992.0,20.0
1981,4,19,0,2,14.7,147.0,992.0,20.0
1981,4,19,6,2,15.3,147.3,993.0,20.0
1981,4,19,12,1,16.2,148.1,995.0,15.0
1981,4,19,18,1,17.7,150.5,995.0,15.0
1981,4,20,0,1,17.8,151.5,1000.0,12.0
1981,4,20,6,1,17.9,152.1,1002.0,12.0
