year,month,day,hour,power,lat,lng,PRES,WND
1981,12,22,18,0,10.0,140.0,1008.0,9.0
1981,12,23,0,1,10.0,138.0,1006.0,12.0
1981,12,23,6,1,9.8,136.0,998.0,15.0
1981,12,23,12,2,10.5,134.4,998.0,20.0
1981,12,23,18,2,11.3,133.4,992.0,20.0
1981,12,24,0,3,11.7,132.1,985.0,25.0
1981,12,24,6,3,12.1,130.9,975.0,30.0
1981,12,24,12,4,12.2,129.9,970.0,35.0
1981,12,24,18,4,12.7,128.8,960.0,35.0
1981,12,25,0,4,12.6,127.9,955.0,40.0
1981,12,25,6,5,12.5,126.2,948.0,45.0
1981,12,25,12,5,12.5,124.9,950.0,45.0
1981,12,25,18,4,12.9,123.4,955.0,40.0
1981,12,26,0,4,13.3,121.8,960.0,35.0
1981,12,26,6,3,13.6,120.4,970.0,30.0
1981,12,26,12,3,13.7,119.2,970.0,30.0
1981,12,26,18,3,13.9,118.1,980.0,25.0
1981,12,27,0,3,14.3,117.0,980.0,25.0
1981,12,27,6,3,14.6,116.0,990.0,25.0
1981,12,27,12,3,15.3,115.2,994.0,25.0
1981,12,27,18,2,15.9,114.2,998.0,20.0
1981,12,28,0,2,16.6,113.5,998.0,20.0
1981,12,28,6,2,17.2,112.9,998.0,20.0
1981,12,28,12,1,18.2,112.8,1000.0,15.0
1981,12,28,18,1,19.0,113.2,1005.0,12.0
1981,12,29,0,1,19.6,113.9,1008.0,12.0
1981,12,29,6,0,19.6,113.9,1008.0,10.0
