year,month,day,hour,power,lat,lng,PRES,WND
1981,7,1,0,0,8.5,139.5,1007.0,0.0
1981,7,1,6,0,8.5,137.5,1005.0,0.0
1981,7,1,12,0,8.5,136.0,1005.0,0.0
1981,7,1,18,0,8.6,134.5,1005.0,10.0
1981,7,2,0,0,9.0,133.0,1005.0,10.0
1981,7,2,6,1,9.7,130.5,1005.0,12.0
1981,7,2,12,1,10.9,129.0,1004.0,15.0
1981,7,2,18,1,12.0,128.0,1000.0,15.0
1981,7,3,0,2,12.3,127.2,998.0,20.0
1981,7,3,6,2,13.2,125.8,992.0,20.0
1981,7,3,12,2,14.0,123.9,992.0,20.0
1981,7,3,18,3,14.5,123.0,990.0,25.0
1981,7,4,0,3,15.0,122.4,990.0,25.0
1981,7,4,6,3,15.3,121.7,990.0,25.0
1981,7,4,12,3,15.8,120.8,990.0,25.0
1981,7,4,18,3,16.3,120.0,990.0,25.0
1981,7,5,0,3,17.1,119.0,990.0,25.0
1981,7,5,6,3,18.2,117.7,990.0,25.0
1981,7,5,12,3,18.9,117.0,990.0,25.0
1981,7,5,18,3,19.7,115.7,985.0,30.0
1981,7,6,0,3,20.0,114.8,980.0,30.0
1981,7,6,6,3,20.3,114.0,980.0,30.0
1981,7,6,12,3,20.9,113.5,980.0,30.0
1981,7,6,18,3,21.3,113.0,980.0,30.0
1981,7,7,0,3,21.9,112.6,986.0,30.0
1981,7,7,6,2,22.5,111.6,990.0,20.0
1981,7,7,12,2,23.0,110.4,995.0,20.0
1981,7,7,18,1,23.5,108.5,998.0,12.0
1981,7,8,0,0,23.6,106.5,1000.0,10.0
