year,month,day,hour,power,lat,lng,PRES,WND
1981,7,17,6,1,18.4,128.5,1000.0,12.0
1981,7,17,12,1,18.4,129.2,1000.0,15.0
1981,7,17,18,1,19.0,129.5,998.0,15.0
1981,7,18,0,2,20.1,129.0,995.0,20.0
1981,7,18,6,3,21.3,128.0,992.0,25.0
1981,7,18,12,3,22.5,127.0,992.0,25.0
1981,7,18,18,3,23.4,126.0,990.0,25.0
1981,7,19,0,3,24.7,124.6,988.0,25.0
1981,7,19,6,3,25.2,123.0,987.0,25.0
1981,7,19,12,3,25.5,121.7,987.0,30.0
1981,7,19,18,3,25.2,120.7,987.0,30.0
1981,7,20,0,3,25.8,119.7,987.0,30.0
1981,7,20,6,1,25.8,117.6,994.0,15.0
1981,7,20,12,1,25.6,115.8,997.0,12.0
1981,7,20,18,1,25.3,114.9,997.0,12.0
1981,7,21,0,0,25.0,114.2,998.0,10.0
1981,7,21,6,0,23.8,113.8,998.0,10.0
1981,7,21,12,0,23.2,112.8,997.0,10.0
1981,7,21,18,0,22.9,111.6,997.0,10.0
1981,7,22,0,0,22.8,111.0,997.0,10.0
1981,7,22,6,0,22.7,110.7,995.0,10.0
1981,7,22,12,0,22.9,110.0,995.0,10.0
1981,7,22,18,1,21.9,109.0,995.0,12.0
1981,7,23,0,1,21.6,109.5,995.0,12.0
1981,7,23,6,1,21.3,109.3,994.0,15.0
1981,7,23,12,0,22.1,109.2,995.0,10.0
1981,7,23,18,0,22.8,109.4,995.0,10.0
1981,7,24,0,0,23.2,110.2,995.0,10.0
1981,7,24,6,0,24.2,110.3,996.0,10.0
1981,7,24,12,0,25.4,111.2,997.0,10.0
1981,7,24,18,0,26.0,112.5,998.0,10.0
1981,7,25,0,0,27.3,112.0,1000.0,10.0
