year,month,day,hour,power,lat,lng,PRES,WND
1981,8,2,0,0,13.0,112.0,1002.0,10.0
1981,8,2,6,1,13.5,112.5,1000.0,12.0
1981,8,2,12,1,13.6,113.3,1000.0,12.0
1981,8,2,18,1,14.0,113.9,1000.0,12.0
1981,8,3,0,1,14.5,114.5,1000.0,12.0
1981,8,3,6,1,15.5,114.5,1000.0,15.0
1981,8,3,12,1,15.8,114.0,999.0,15.0
1981,8,3,18,1,15.3,114.2,999.0,15.0
1981,8,4,0,1,15.0,114.5,997.0,15.0
1981,8,4,6,1,15.1,115.0,997.0,15.0
1981,8,4,12,1,15.1,115.0,996.0,15.0
1981,8,4,18,2,15.4,115.7,995.0,20.0
1981,8,5,0,2,15.8,116.1,993.0,20.0
1981,8,5,6,2,16.3,116.7,993.0,20.0
1981,8,5,12,2,16.7,117.2,992.0,20.0
1981,8,5,18,2,17.4,117.5,990.0,20.0
1981,8,6,0,3,18.0,118.0,990.0,25.0
1981,8,6,6,3,18.6,118.4,986.0,25.0
1981,8,6,12,2,19.4,118.5,990.0,20.0
1981,8,6,18,2,20.0,118.3,990.0,20.0
1981,8,7,0,2,20.4,118.0,993.0,20.0
1981,8,7,6,2,20.6,117.5,995.0,20.0
1981,8,7,12,2,20.5,117.0,995.0,20.0
1981,8,7,18,1,20.2,116.4,998.0,15.0
1981,8,8,0,1,19.8,115.8,998.0,15.0
1981,8,8,6,1,19.5,115.2,998.0,15.0
1981,8,8,12,1,19.2,114.3,998.0,15.0
1981,8,8,18,1,18.8,113.5,998.0,12.0
1981,8,9,0,1,18.6,112.5,997.0,12.0
1981,8,9,6,1,18.7,111.4,995.0,12.0
1981,8,9,12,1,19.0,110.3,995.0,12.0
1981,8,9,18,1,19.0,109.2,996.0,12.0
1981,8,10,0,1,19.5,108.0,996.0,12.0
1981,8,10,6,0,19.7,107.0,997.0,10.0
1981,8,10,12,0,20.0,104.5,997.0,10.0
