year,month,day,hour,power,lat,lng,PRES,WND
1981,8,7,0,0,20.5,166.0,1004.0,10.0
1981,8,7,6,1,21.0,165.5,1000.0,12.0
1981,8,7,12,1,21.6,165.3,998.0,15.0
1981,8,7,18,1,22.4,165.1,998.0,15.0
1981,8,8,0,2,23.0,165.0,992.0,20.0
1981,8,8,6,2,24.1,165.8,992.0,20.0
1981,8,8,12,3,25.0,166.3,990.0,25.0
1981,8,8,18,3,26.8,166.0,990.0,25.0
1981,8,9,0,3,28.2,165.2,990.0,25.0
1981,8,9,6,3,29.0,163.5,985.0,25.0
1981,8,9,12,3,30.1,162.9,985.0,25.0
1981,8,9,18,3,30.8,162.3,985.0,25.0
1981,8,10,0,3,31.2,161.7,985.0,25.0
1981,8,10,6,3,31.6,161.4,980.0,30.0
1981,8,10,12,3,32.0,161.1,980.0,30.0
1981,8,10,18,3,32.4,160.8,980.0,30.0
1981,8,11,0,3,32.8,160.0,980.0,30.0
1981,8,11,6,3,33.1,159.5,978.0,30.0
1981,8,11,12,3,33.8,158.9,985.0,25.0
1981,8,11,18,3,34.3,157.9,985.0,25.0
1981,8,12,0,2,34.7,156.9,985.0,20.0
1981,8,12,6,2,35.1,156.4,990.0,20.0
1981,8,12,12,2,35.5,155.5,990.0,20.0
1981,8,12,18,1,35.9,154.7,995.0,15.0
1981,8,13,0,1,36.6,154.1,998.0,15.0
1981,8,13,6,1,37.5,153.9,1000.0,15.0
1981,8,13,12,1,38.2,154.0,1002.0,15.0
1981,8,13,18,1,38.9,154.0,1004.0,12.0
1981,8,14,0,1,41.0,154.0,1004.0,12.0
1981,8,14,6,1,44.0,155.0,1004.0,12.0
