year,month,day,hour,power,lat,lng,PRES,WND
1981,8,14,6,0,15.5,118.5,1000.0,10.0
1981,8,14,12,1,15.8,118.0,999.0,12.0
1981,8,14,18,1,16.0,117.4,998.0,12.0
1981,8,15,0,1,16.3,116.7,998.0,12.0
1981,8,15,6,1,16.4,116.2,998.0,12.0
1981,8,15,12,1,16.3,115.7,998.0,12.0
1981,8,15,18,1,16.2,115.3,998.0,12.0
1981,8,16,0,1,16.2,114.8,996.0,15.0
1981,8,16,6,1,16.2,114.3,995.0,15.0
1981,8,16,12,1,16.4,113.9,995.0,15.0
1981,8,16,18,1,16.8,113.6,995.0,15.0
1981,8,17,0,1,17.3,113.3,995.0,15.0
1981,8,17,6,1,17.5,113.0,995.0,15.0
1981,8,17,12,1,17.8,112.8,995.0,15.0
1981,8,17,18,1,17.9,112.4,995.0,15.0
1981,8,18,0,1,18.0,111.8,995.0,15.0
1981,8,18,6,2,18.1,111.3,993.0,20.0
1981,8,18,12,2,18.3,111.0,991.0,20.0
1981,8,18,18,2,18.4,110.6,990.0,20.0
1981,8,19,0,2,19.1,109.9,990.0,20.0
1981,8,19,6,3,19.5,108.5,990.0,25.0
1981,8,19,12,3,19.6,107.8,990.0,25.0
1981,8,19,18,3,19.7,106.8,990.0,25.0
1981,8,20,0,3,20.0,106.2,990.0,25.0
1981,8,20,6,3,20.4,105.5,990.0,25.0
1981,8,20,12,1,21.0,105.0,995.0,15.0
