year,month,day,hour,power,lat,lng,PRES,WND
1982,10,1,6,0,11.0,151.0,1003.0,10.0
1982,10,1,12,0,11.5,150.3,1003.0,10.0
1982,10,1,18,1,11.8,149.2,1002.0,12.0
1982,10,2,0,1,12.0,148.5,1000.0,15.0
1982,10,2,6,2,12.4,147.5,993.0,20.0
1982,10,2,12,2,12.6,146.5,993.0,20.0
1982,10,2,18,3,12.6,145.5,982.0,25.0
1982,10,3,0,3,12.9,144.6,970.0,30.0
1982,10,3,6,4,13.3,143.7,961.0,35.0
1982,10,3,12,4,13.7,143.0,954.0,40.0
1982,10,3,18,4,14.1,142.1,954.0,40.0
1982,10,4,0,5,14.5,141.4,940.0,45.0
1982,10,4,6,5,15.1,140.7,919.0,50.0
1982,10,4,12,6,15.5,140.0,908.0,60.0
1982,10,4,18,6,15.8,139.0,895.0,70.0
1982,10,5,0,6,16.2,138.3,895.0,70.0
1982,10,5,6,6,16.8,137.7,904.0,70.0
1982,10,5,12,6,17.3,136.9,913.0,65.0
1982,10,5,18,6,17.8,136.1,917.0,60.0
1982,10,6,0,6,18.5,135.8,919.0,60.0
1982,10,6,6,6,19.5,135.6,921.0,60.0
1982,10,6,12,6,20.3,135.4,913.0,60.0
1982,10,6,18,6,21.2,135.2,910.0,60.0
1982,10,7,0,6,22.0,135.3,919.0,60.0
1982,10,7,6,6,23.3,135.6,922.0,55.0
1982,10,7,12,6,24.6,136.0,925.0,55.0
1982,10,7,18,5,26.1,136.6,929.0,50.0
1982,10,8,0,5,27.6,137.4,937.0,45.0
1982,10,8,6,5,29.8,138.7,948.0,45.0
1982,10,8,12,4,31.7,140.0,952.0,40.0
1982,10,8,18,4,33.8,142.8,957.0,35.0
1982,10,9,0,4,34.5,144.6,962.0,35.0
1982,10,9,6,3,35.0,146.3,970.0,25.0
1982,10,9,12,3,35.4,148.1,974.0,25.0
1982,10,9,18,2,35.2,150.0,980.0,20.0
1982,10,10,0,9,34.8,152.0,996.0,20.0
1982,10,10,6,9,34.0,153.8,1000.0,20.0
1982,10,10,12,9,33.5,156.0,1004.0,15.0
