year,month,day,hour,power,lat,lng,PRES,WND
1982,10,10,0,0,13.5,148.5,1008.0,10.0
1982,10,10,6,1,14.0,146.5,1006.0,12.0
1982,10,10,12,1,14.6,144.7,1004.0,12.0
1982,10,10,18,1,15.0,143.2,1004.0,12.0
1982,10,11,0,1,15.6,141.6,1002.0,15.0
1982,10,11,6,2,16.2,139.9,998.0,20.0
1982,10,11,12,2,15.9,138.5,998.0,20.0
1982,10,11,18,2,15.8,137.1,998.0,20.0
1982,10,12,0,2,15.9,135.6,998.0,20.0
1982,10,12,6,3,15.9,134.3,988.0,25.0
1982,10,12,12,3,16.0,132.9,982.0,30.0
1982,10,12,18,3,16.1,131.4,977.0,30.0
1982,10,13,0,3,16.4,130.5,975.0,30.0
1982,10,13,6,4,16.7,129.5,970.0,35.0
1982,10,13,12,4,17.1,128.1,965.0,40.0
1982,10,13,18,5,17.6,126.5,953.0,45.0
1982,10,14,0,5,17.7,125.0,947.0,50.0
1982,10,14,6,6,17.8,123.6,939.0,55.0
1982,10,14,12,6,17.6,122.3,933.0,55.0
1982,10,14,18,5,17.7,121.0,953.0,45.0
1982,10,15,0,4,17.6,119.7,967.0,40.0
1982,10,15,6,4,17.5,118.3,981.0,35.0
1982,10,15,12,4,17.3,117.2,983.0,35.0
1982,10,15,18,4,17.1,116.0,976.0,35.0
1982,10,16,0,4,16.8,114.6,972.0,35.0
1982,10,16,6,4,16.8,113.4,970.0,40.0
1982,10,16,12,5,17.0,112.2,965.0,45.0
1982,10,16,18,5,17.1,110.9,960.0,45.0
1982,10,17,0,5,17.6,110.0,965.0,45.0
1982,10,17,6,5,17.9,108.9,965.0,45.0
1982,10,17,12,4,18.6,107.8,970.0,40.0
1982,10,17,18,4,18.9,107.0,970.0,40.0
1982,10,18,0,4,19.0,106.0,970.0,40.0
1982,10,18,6,4,19.0,105.4,975.0,35.0
1982,10,18,12,3,19.0,105.4,985.0,25.0
1982,10,18,18,1,18.6,104.6,995.0,15.0
1982,10,19,0,1,17.0,103.0,1003.0,12.0
1982,10,19,6,0,16.0,102.5,1005.0,10.0
