year,month,day,hour,power,lat,lng,PRES,WND
1983,8,18,12,0,15.3,135.8,1006.0,10.0
1983,8,18,18,0,15.5,135.1,1006.0,10.0
1983,8,19,0,1,15.8,134.3,1004.0,12.0
1983,8,19,6,1,16.2,133.3,1004.0,15.0
1983,8,19,12,1,16.4,132.8,1004.0,15.0
1983,8,19,18,1,16.7,132.4,1002.0,15.0
1983,8,20,0,1,16.9,132.3,1002.0,15.0
1983,8,20,6,1,17.4,132.4,1000.0,15.0
1983,8,20,12,2,17.9,133.0,1000.0,20.0
1983,8,20,18,2,18.5,133.7,1000.0,20.0
1983,8,21,0,2,19.4,134.8,1000.0,20.0
1983,8,21,6,1,20.0,135.6,1002.0,15.0
1983,8,21,12,1,20.7,136.2,1002.0,15.0
1983,8,21,18,1,21.4,136.9,1002.0,15.0
1983,8,22,0,1,22.4,137.6,1002.0,15.0
1983,8,22,6,1,23.4,138.5,1002.0,15.0
1983,8,22,12,1,24.0,140.0,1000.0,15.0
1983,8,22,18,2,24.5,141.2,998.0,20.0
1983,8,23,0,2,24.9,142.7,995.0,20.0
1983,8,23,6,2,25.2,143.3,996.0,20.0
1983,8,23,12,2,25.6,143.8,996.0,20.0
1983,8,23,18,2,25.4,144.1,998.0,20.0
1983,8,24,0,2,25.2,144.2,998.0,20.0
1983,8,24,6,1,25.4,144.6,998.0,15.0
1983,8,24,12,1,25.4,144.6,998.0,15.0
1983,8,24,18,1,25.7,144.5,998.0,15.0
1983,8,25,0,1,26.4,143.7,998.0,12.0
1983,8,25,6,1,27.0,142.9,1000.0,12.0
1983,8,25,12,0,28.0,142.0,1003.0,10.0
1983,8,25,18,0,29.1,141.0,1003.0,10.0
1983,8,26,0,0,30.2,141.2,1003.0,10.0
