year,month,day,hour,power,lat,lng,PRES,WND
1983,11,8,6,1,17.0,155.0,1006.0,12.0
1983,11,8,12,1,17.3,153.7,1004.0,12.0
1983,11,8,18,1,17.6,152.5,1000.0,15.0
1983,11,9,0,2,18.7,151.6,996.0,20.0
1983,11,9,6,2,19.6,151.5,994.0,20.0
1983,11,9,12,2,20.5,151.8,996.0,20.0
1983,11,9,18,2,21.2,152.2,996.0,20.0
1983,11,10,0,2,22.1,152.8,998.0,20.0
1983,11,10,6,2,23.4,153.6,998.0,20.0
1983,11,10,12,2,24.6,154.5,1000.0,20.0
1983,11,10,18,1,25.8,155.5,1002.0,15.0
1983,11,11,0,1,27.0,157.0,1006.0,12.0
1983,11,11,6,1,29.5,159.5,1008.0,12.0
