year,month,day,hour,power,lat,lng,PRES,WND
1983,11,16,12,0,10.0,139.0,1006.0,10.0
1983,11,16,18,1,10.0,138.0,1004.0,12.0
1983,11,17,0,1,10.0,137.0,1004.0,12.0
1983,11,17,6,1,10.5,135.5,1002.0,15.0
1983,11,17,12,1,11.0,134.0,1002.0,15.0
1983,11,17,18,1,11.5,132.5,1000.0,15.0
1983,11,18,0,2,12.4,130.8,996.0,20.0
1983,11,18,6,2,13.0,129.3,994.0,20.0
1983,11,18,12,2,13.0,128.5,992.0,20.0
1983,11,18,18,2,13.0,128.1,990.0,20.0
1983,11,19,0,3,12.7,128.0,985.0,25.0
1983,11,19,6,3,12.7,128.0,985.0,25.0
1983,11,19,12,3,12.3,127.8,980.0,25.0
1983,11,19,18,3,12.2,127.5,975.0,30.0
1983,11,20,0,4,12.2,127.5,970.0,35.0
1983,11,20,6,4,12.3,127.2,960.0,35.0
1983,11,20,12,4,12.8,126.6,955.0,40.0
1983,11,20,18,5,13.1,126.1,945.0,45.0
1983,11,21,0,5,13.5,126.1,947.0,45.0
1983,11,21,6,5,14.0,125.7,942.0,45.0
1983,11,21,12,5,14.4,125.4,942.0,45.0
1983,11,21,18,5,14.8,125.5,940.0,50.0
1983,11,22,0,5,14.8,125.5,943.0,50.0
1983,11,22,6,5,15.2,125.6,943.0,45.0
1983,11,22,12,4,15.6,125.8,950.0,40.0
1983,11,22,18,4,16.0,126.0,950.0,40.0
1983,11,23,0,4,16.3,126.3,945.0,40.0
1983,11,23,6,5,17.0,126.2,935.0,50.0
1983,11,23,12,6,17.0,126.2,933.0,55.0
1983,11,23,18,6,17.3,126.0,930.0,55.0
1983,11,24,0,6,17.6,125.7,930.0,55.0
1983,11,24,6,5,17.4,125.3,935.0,50.0
1983,11,24,12,4,17.4,125.3,945.0,40.0
1983,11,24,18,4,17.6,124.9,950.0,35.0
1983,11,25,0,3,17.9,124.7,970.0,30.0
1983,11,25,6,3,17.9,124.7,975.0,30.0
1983,11,25,12,3,18.3,124.4,990.0,25.0
1983,11,25,18,2,18.2,124.2,995.0,20.0
1983,11,26,0,1,18.2,124.2,1002.0,15.0
