year,month,day,hour,power,lat,lng,PRES,WND
1983,11,26,12,1,15.0,133.0,1008.0,12.0
1983,11,26,18,1,16.0,132.0,1008.0,12.0
1983,11,27,0,1,16.0,131.0,1006.0,15.0
1983,11,27,6,1,16.4,130.2,1006.0,15.0
1983,11,27,12,1,16.6,129.7,1004.0,15.0
1983,11,27,18,1,16.8,129.1,1002.0,15.0
1983,11,28,0,2,17.3,128.7,997.0,20.0
1983,11,28,6,3,17.9,128.3,994.0,25.0
1983,11,28,12,3,18.2,128.0,994.0,25.0
1983,11,28,18,3,18.3,127.3,996.0,25.0
1983,11,29,0,2,18.3,126.8,998.0,20.0
1983,11,29,6,2,18.4,126.4,998.0,20.0
1983,11,29,12,1,18.3,126.1,1002.0,15.0
1983,11,29,18,1,18.3,125.8,1004.0,15.0
1983,11,30,0,1,18.5,125.5,1004.0,15.0
1983,11,30,6,1,18.1,125.2,1004.0,15.0
1983,11,30,12,1,17.6,125.0,1007.0,12.0
