year,month,day,hour,power,lat,lng,PRES,WND
1984,10,31,18,1,6.2,145.2,1004.0,12.0
1984,11,1,0,1,5.9,144.2,1000.0,15.0
1984,11,1,6,2,5.8,142.9,996.0,20.0
1984,11,1,12,3,6.6,141.8,992.0,25.0
1984,11,1,18,3,7.3,140.5,990.0,25.0
1984,11,2,0,3,7.8,139.4,990.0,25.0
1984,11,2,6,3,8.3,138.3,988.0,30.0
1984,11,2,12,3,8.6,137.3,985.0,30.0
1984,11,2,18,4,8.9,136.3,980.0,35.0
1984,11,3,0,4,9.2,135.2,975.0,40.0
1984,11,3,6,5,9.3,133.9,955.0,45.0
1984,11,3,12,5,9.6,132.6,940.0,45.0
1984,11,3,18,5,9.8,131.4,930.0,50.0
1984,11,4,0,5,10.0,130.1,925.0,50.0
1984,11,4,6,5,10.5,128.8,925.0,50.0
1984,11,4,12,5,10.8,127.3,925.0,50.0
1984,11,4,18,5,11.2,125.9,925.0,50.0
1984,11,5,0,5,11.6,123.9,940.0,45.0
1984,11,5,6,5,11.7,122.2,950.0,45.0
1984,11,5,12,4,11.9,120.9,975.0,35.0
1984,11,5,18,4,12.0,119.2,975.0,35.0
1984,11,6,0,4,12.2,117.5,970.0,40.0
1984,11,6,6,4,12.7,115.7,970.0,40.0
1984,11,6,12,5,13.0,114.1,965.0,45.0
1984,11,6,18,5,13.3,112.6,950.0,45.0
1984,11,7,0,5,13.7,111.3,945.0,50.0
1984,11,7,6,5,13.9,110.2,950.0,50.0
1984,11,7,12,4,14.2,108.6,975.0,35.0
1984,11,7,18,2,14.5,107.8,985.0,20.0
1984,11,8,0,1,15.0,107.0,995.0,15.0
1984,11,8,6,1,15.8,106.0,1002.0,12.0
1984,11,8,12,0,14.5,104.0,1004.0,10.0
