year,month,day,hour,power,lat,lng,PRES,WND
1984,8,26,18,1,10.5,145.9,1004.0,12.0
1984,8,27,0,1,11.0,145.0,1002.0,15.0
1984,8,27,6,2,11.6,144.4,996.0,20.0
1984,8,27,12,2,11.9,143.8,996.0,20.0
1984,8,27,18,2,12.5,143.2,996.0,20.0
1984,8,28,0,2,13.2,142.4,995.0,20.0
1984,8,28,6,2,13.7,141.8,995.0,20.0
1984,8,28,12,2,13.4,141.3,995.0,20.0
1984,8,28,18,2,12.7,141.0,995.0,20.0
1984,8,29,0,2,12.3,140.4,992.0,20.0
1984,8,29,6,2,12.2,139.8,990.0,20.0
1984,8,29,12,2,12.1,139.0,990.0,20.0
1984,8,29,18,3,11.5,138.5,985.0,25.0
1984,8,30,0,3,11.0,137.9,985.0,25.0
1984,8,30,6,3,10.7,137.1,983.0,25.0
1984,8,30,12,3,10.6,136.3,980.0,30.0
1984,8,30,18,3,10.2,135.4,975.0,30.0
1984,8,31,0,4,10.2,134.5,970.0,35.0
1984,8,31,6,4,10.1,133.3,965.0,35.0
1984,8,31,12,4,9.9,132.0,960.0,40.0
1984,8,31,18,4,9.8,130.8,955.0,40.0
1984,9,1,0,5,9.7,129.6,953.0,45.0
1984,9,1,6,5,9.5,128.2,947.0,50.0
1984,9,1,12,5,9.4,126.9,950.0,45.0
1984,9,1,18,5,9.6,125.6,955.0,45.0
1984,9,2,0,4,10.0,124.1,960.0,40.0
1984,9,2,6,4,10.3,122.6,965.0,35.0
1984,9,2,12,3,10.8,121.8,980.0,25.0
1984,9,2,18,3,11.4,120.8,985.0,25.0
1984,9,3,0,3,12.0,120.1,990.0,25.0
1984,9,3,6,3,12.8,119.5,985.0,30.0
1984,9,3,12,3,13.7,118.5,980.0,30.0
1984,9,3,18,3,14.3,117.5,975.0,30.0
1984,9,4,0,4,15.1,116.6,975.0,35.0
1984,9,4,6,4,16.0,115.5,965.0,40.0
1984,9,4,12,4,16.8,114.4,960.0,40.0
1984,9,4,18,5,17.4,113.2,960.0,45.0
1984,9,5,0,5,18.4,112.2,955.0,45.0
1984,9,5,6,4,19.1,111.2,960.0,40.0
1984,9,5,12,4,20.1,110.2,970.0,35.0
1984,9,5,18,3,20.8,109.6,970.0,30.0
1984,9,6,0,3,21.7,108.7,970.0,30.0
1984,9,6,6,2,22.5,108.2,990.0,20.0
1984,9,6,12,1,23.4,107.4,995.0,15.0
