year,month,day,hour,power,lat,lng,PRES,WND
1984,9,12,18,1,21.0,171.0,1004.0,12.0
1984,9,13,0,1,21.0,171.0,1004.0,12.0
1984,9,13,6,1,21.0,171.0,1002.0,12.0
1984,9,13,12,1,21.0,171.0,1002.0,12.0
1984,9,13,18,1,21.0,171.0,1000.0,15.0
1984,9,14,0,2,21.0,171.0,998.0,20.0
1984,9,14,6,2,21.6,171.6,994.0,20.0
1984,9,14,12,2,22.5,171.9,990.0,20.0
1984,9,14,18,2,23.8,172.0,990.0,20.0
1984,9,15,0,3,25.0,171.9,985.0,25.0
1984,9,15,6,3,26.3,171.5,980.0,25.0
1984,9,15,12,3,27.5,171.2,975.0,30.0
1984,9,15,18,3,29.1,170.1,970.0,30.0
1984,9,16,0,4,30.0,168.9,965.0,35.0
1984,9,16,6,4,31.0,167.3,965.0,35.0
1984,9,16,12,4,31.2,166.5,964.0,35.0
1984,9,16,18,4,31.7,165.6,964.0,35.0
1984,9,17,0,3,32.1,165.2,970.0,30.0
1984,9,17,6,3,32.8,166.0,970.0,30.0
1984,9,17,12,3,33.8,167.0,975.0,30.0
1984,9,17,18,3,34.7,168.0,980.0,25.0
1984,9,18,0,9,35.9,169.1,980.0,25.0
1984,9,18,6,9,37.5,171.0,980.0,25.0
1984,9,18,12,9,38.3,173.5,985.0,25.0
1984,9,18,18,9,39.1,175.9,985.0,25.0
1984,9,19,0,9,40.0,179.0,985.0,25.0
