year,month,day,hour,power,lat,lng,PRES,WND
1985,9,26,0,0,15.5,119.5,1004.0,10.0
1985,9,26,6,1,16.5,119.5,1002.0,12.0
1985,9,26,12,1,17.8,118.5,1002.0,12.0
1985,9,26,18,1,18.6,117.9,1002.0,12.0
1985,9,27,0,1,19.0,117.0,1002.0,15.0
1985,9,27,6,1,18.8,116.4,1000.0,15.0
1985,9,27,12,1,18.9,116.0,1000.0,15.0
1985,9,27,18,1,19.0,115.7,1000.0,15.0
1985,9,28,0,2,19.1,115.4,998.0,20.0
1985,9,28,6,2,19.0,114.8,996.0,20.0
1985,9,28,12,3,18.6,113.8,994.0,25.0
1985,9,28,18,3,18.8,112.8,992.0,25.0
1985,9,29,0,3,18.6,112.1,987.0,30.0
1985,9,29,6,4,18.7,111.3,980.0,35.0
1985,9,29,12,4,18.8,110.7,975.0,35.0
1985,9,29,18,3,18.5,109.9,980.0,25.0
1985,9,30,0,3,18.2,109.3,982.0,25.0
1985,9,30,6,3,18.1,108.9,987.0,25.0
1985,9,30,12,3,18.1,108.6,990.0,25.0
1985,9,30,18,2,18.1,108.3,992.0,20.0
1985,10,1,0,2,18.0,107.5,992.0,20.0
1985,10,1,6,2,18.0,107.0,992.0,20.0
1985,10,1,12,1,17.8,106.3,996.0,15.0
1985,10,1,18,1,17.8,105.8,1000.0,15.0
1985,10,2,0,1,17.6,105.2,1004.0,12.0
