year,month,day,hour,power,lat,lng,PRES,WND
1985,10,15,18,1,9.0,154.0,1004.0,12.0
1985,10,16,0,1,10.0,153.0,1002.0,15.0
1985,10,16,6,1,10.7,152.0,1000.0,15.0
1985,10,16,12,1,10.8,151.3,1000.0,15.0
1985,10,16,18,1,10.7,151.1,1000.0,15.0
1985,10,17,0,1,10.6,150.8,1000.0,15.0
1985,10,17,6,2,10.7,150.5,995.0,20.0
1985,10,17,12,2,10.4,150.3,995.0,20.0
1985,10,17,18,2,9.9,150.1,995.0,20.0
1985,10,18,0,3,9.3,149.8,990.0,25.0
1985,10,18,6,3,8.7,149.6,990.0,25.0
1985,10,18,12,2,8.3,149.3,995.0,20.0
1985,10,18,18,2,8.0,149.0,995.0,20.0
1985,10,19,0,2,7.3,148.4,995.0,20.0
1985,10,19,6,2,6.7,148.0,995.0,20.0
1985,10,19,12,2,6.3,147.3,998.0,20.0
1985,10,19,18,1,6.3,146.4,1000.0,15.0
1985,10,20,0,1,7.0,145.0,1002.0,15.0
1985,10,20,6,1,8.0,143.8,1004.0,12.0
1985,10,20,12,1,8.9,142.5,1004.0,12.0
1985,10,20,18,1,9.5,141.3,1004.0,12.0
1985,10,21,0,1,10.0,139.8,1000.0,15.0
1985,10,21,6,1,9.5,138.2,1000.0,15.0
1985,10,21,12,1,10.0,136.5,1004.0,12.0
1985,10,21,18,1,11.0,136.0,1004.0,12.0
1985,10,22,0,1,12.0,135.5,1004.0,12.0
1985,10,22,6,1,12.5,134.0,1004.0,12.0
1985,10,22,12,0,12.8,133.0,1006.0,10.0
1985,10,22,18,0,13.0,132.0,1006.0,9.0
