year,month,day,hour,power,lat,lng,PRES,WND
1985,11,20,0,1,8.2,111.5,1002.0,15.0
1985,11,20,6,1,8.3,111.0,1002.0,15.0
1985,11,20,12,1,8.4,110.6,1002.0,15.0
1985,11,20,18,1,8.7,110.8,1002.0,15.0
1985,11,21,0,2,9.0,111.0,998.0,20.0
1985,11,21,6,2,9.4,111.5,998.0,20.0
1985,11,21,12,2,9.5,112.5,998.0,20.0
1985,11,21,18,1,10.0,112.8,1002.0,15.0
1985,11,22,0,1,10.8,113.0,1002.0,15.0
1985,11,22,6,1,9.8,113.1,1002.0,15.0
1985,11,22,12,1,9.7,112.7,1002.0,15.0
1985,11,22,18,1,9.7,112.2,1002.0,15.0
1985,11,23,0,1,9.6,111.8,1002.0,15.0
1985,11,23,6,1,9.9,112.5,1002.0,15.0
1985,11,23,12,1,10.4,112.4,1000.0,15.0
1985,11,23,18,1,11.3,112.3,1000.0,15.0
1985,11,24,0,1,12.0,112.0,1000.0,15.0
1985,11,24,6,2,11.6,111.7,995.0,20.0
1985,11,24,12,2,11.4,111.8,995.0,20.0
1985,11,24,18,2,11.7,111.4,995.0,20.0
1985,11,25,0,2,12.0,110.3,995.0,20.0
1985,11,25,6,1,11.5,108.8,1000.0,15.0
1985,11,25,12,1,10.5,107.5,1004.0,12.0
