year,month,day,hour,power,lat,lng,PRES,WND
1985,6,17,6,0,12.5,141.3,1002.0,10.0
1985,6,17,12,0,12.6,140.5,1002.0,10.0
1985,6,17,18,1,12.7,139.5,1002.0,12.0
1985,6,18,0,1,13.0,139.0,1002.0,12.0
1985,6,18,6,1,13.2,138.2,1001.0,12.0
1985,6,18,12,1,13.5,137.5,1001.0,12.0
1985,6,18,18,1,13.8,136.5,1001.0,15.0
1985,6,19,0,1,14.0,135.5,1001.0,15.0
1985,6,19,6,1,14.2,134.2,1000.0,15.0
1985,6,19,12,1,14.5,133.2,998.0,15.0
1985,6,19,18,2,14.7,132.2,995.0,20.0
1985,6,20,0,3,15.0,130.7,985.0,25.0
1985,6,20,6,3,15.2,129.8,980.0,30.0
1985,6,20,12,3,15.6,129.0,975.0,30.0
1985,6,20,18,4,16.2,128.4,970.0,35.0
1985,6,21,0,4,16.5,126.7,970.0,35.0
1985,6,21,6,4,17.0,125.6,965.0,40.0
1985,6,21,12,4,17.8,124.5,962.0,40.0
1985,6,21,18,4,18.4,122.9,958.0,40.0
1985,6,22,0,4,19.2,121.3,960.0,40.0
1985,6,22,6,4,19.3,120.4,960.0,40.0
1985,6,22,12,4,19.7,119.8,962.0,40.0
1985,6,22,18,4,20.2,119.0,965.0,40.0
1985,6,23,0,4,20.9,118.0,965.0,40.0
1985,6,23,6,4,21.4,117.1,965.0,40.0
1985,6,23,12,4,21.6,116.2,965.0,40.0
1985,6,23,18,4,21.8,115.6,970.0,35.0
1985,6,24,0,4,22.1,115.4,970.0,35.0
1985,6,24,6,3,22.9,115.3,975.0,25.0
1985,6,24,12,2,23.2,115.2,980.0,20.0
1985,6,24,18,1,23.9,114.8,985.0,15.0
1985,6,25,0,0,24.5,114.5,988.0,10.0
1985,6,25,6,0,25.0,115.0,990.0,10.0
1985,6,25,12,0,25.5,115.6,993.0,10.0
1985,6,25,18,0,26.0,116.5,993.0,10.0
1985,6,26,0,0,26.8,117.0,995.0,10.0
1985,6,26,6,0,27.5,117.5,995.0,10.0
1985,6,26,12,0,28.5,119.0,995.0,10.0
1985,6,26,18,0,30.0,118.9,995.0,10.0
1985,6,27,0,0,31.0,120.5,995.0,10.0
1985,6,27,6,9,31.8,122.0,995.0,15.0
1985,6,27,12,9,32.2,122.8,995.0,15.0
1985,6,27,18,9,32.4,124.0,995.0,15.0
1985,6,28,0,9,32.5,125.5,998.0,15.0
