year,month,day,hour,power,lat,lng,PRES,WND
1985,12,16,6,1,7.5,115.5,1004.0,12.0
1985,12,16,12,1,7.5,115.5,1004.0,12.0
1985,12,16,18,1,7.5,115.5,1004.0,12.0
1985,12,17,0,1,7.5,115.5,1004.0,12.0
1985,12,17,6,1,7.5,115.5,1002.0,15.0
1985,12,17,12,1,7.5,115.5,1002.0,15.0
1985,12,17,18,1,7.6,115.0,1000.0,15.0
1985,12,18,0,2,7.7,114.7,994.0,20.0
1985,12,18,6,2,7.9,114.4,995.0,20.0
1985,12,18,12,2,8.0,114.0,995.0,20.0
1985,12,18,18,2,8.0,113.7,995.0,20.0
1985,12,19,0,2,7.8,113.5,995.0,20.0
1985,12,19,6,2,7.7,113.3,995.0,20.0
1985,12,19,12,2,7.8,113.1,995.0,20.0
1985,12,19,18,2,8.0,112.5,995.0,20.0
1985,12,20,0,2,8.5,111.4,995.0,20.0
1985,12,20,6,2,9.2,111.0,995.0,20.0
1985,12,20,12,2,9.5,109.0,995.0,20.0
1985,12,20,18,2,9.0,108.6,995.0,20.0
1985,12,21,0,1,8.3,108.4,1002.0,15.0
1985,12,21,6,1,7.8,108.0,1004.0,12.0
1985,12,21,12,0,7.0,107.0,1004.0,10.0
