year,month,day,hour,power,lat,lng,PRES,WND
1985,8,22,6,0,19.3,142.2,1004.0,10.0
1985,8,22,12,0,19.4,141.5,1004.0,10.0
1985,8,22,18,0,19.0,141.0,1004.0,10.0
1985,8,23,0,1,19.0,141.0,1002.0,15.0
1985,8,23,6,1,18.5,141.2,1002.0,15.0
1985,8,23,12,1,18.1,141.5,1000.0,15.0
1985,8,23,18,1,17.7,142.2,1000.0,15.0
1985,8,24,0,1,17.0,143.1,998.0,15.0
1985,8,24,6,2,17.4,143.4,994.0,20.0
1985,8,24,12,3,18.3,143.9,990.0,25.0
1985,8,24,18,3,19.7,144.1,988.0,25.0
1985,8,25,0,3,21.0,143.8,985.0,30.0
1985,8,25,6,4,22.0,143.5,978.0,35.0
1985,8,25,12,4,22.9,143.2,978.0,35.0
1985,8,25,18,4,24.0,142.9,978.0,35.0
1985,8,26,0,4,25.0,142.4,974.0,35.0
1985,8,26,6,4,26.0,142.2,968.0,40.0
1985,8,26,12,4,26.9,142.1,967.0,40.0
1985,8,26,18,4,27.6,141.6,965.0,40.0
1985,8,27,0,4,28.0,141.2,965.0,40.0
1985,8,27,6,4,28.2,140.8,965.0,40.0
1985,8,27,12,4,28.3,140.1,965.0,40.0
1985,8,27,18,4,28.1,139.4,965.0,40.0
1985,8,28,0,4,28.1,138.7,965.0,40.0
1985,8,28,6,4,28.2,137.9,962.0,40.0
1985,8,28,12,4,28.3,137.0,960.0,40.0
1985,8,28,18,4,28.6,136.1,960.0,40.0
1985,8,29,0,4,29.1,135.0,957.0,40.0
1985,8,29,6,4,29.7,133.7,959.0,40.0
1985,8,29,12,4,30.1,132.0,959.0,40.0
1985,8,29,18,4,30.3,129.8,959.0,40.0
1985,8,30,0,4,30.3,128.0,959.0,40.0
1985,8,30,6,4,30.3,126.5,960.0,35.0
1985,8,30,12,4,30.2,125.7,970.0,35.0
1985,8,30,18,3,29.9,125.2,980.0,30.0
1985,8,31,0,3,30.1,126.0,980.0,30.0
1985,8,31,6,3,31.1,127.7,985.0,25.0
1985,8,31,12,3,32.6,128.7,986.0,25.0
1985,8,31,18,3,34.1,130.0,990.0,25.0
1985,9,1,0,2,35.5,131.7,990.0,20.0
1985,9,1,6,2,36.9,134.0,994.0,20.0
1985,9,1,12,1,37.7,136.5,998.0,15.0
1985,9,1,18,1,37.5,140.0,1000.0,12.0
