year,month,day,hour,power,lat,lng,PRES,WND
1986,11,29,12,0,6.0,113.0,1008.0,10.0
1986,11,29,18,0,7.0,114.3,1006.0,10.0
1986,11,30,0,0,8.0,115.5,1006.0,10.0
1986,11,30,6,0,8.5,115.8,1006.0,10.0
1986,11,30,12,0,9.0,116.0,1006.0,10.0
1986,11,30,18,0,9.4,115.5,1006.0,10.0
1986,12,1,0,0,9.7,114.8,1004.0,10.0
1986,12,1,6,0,10.0,113.5,1004.0,10.0
1986,12,1,12,0,10.4,112.7,1004.0,10.0
1986,12,1,18,1,10.9,111.7,1002.0,12.0
1986,12,2,0,1,11.0,111.0,1002.0,15.0
1986,12,2,6,1,11.0,109.9,1002.0,15.0
1986,12,2,12,1,11.0,108.7,1004.0,12.0
