year,month,day,hour,power,lat,lng,PRES,WND
1986,10,13,12,0,12.0,166.7,1006.0,10.0
1986,10,13,18,0,12.4,165.3,1006.0,10.0
1986,10,14,0,1,12.9,164.0,1004.0,12.0
1986,10,14,6,1,13.2,163.0,1002.0,15.0
1986,10,14,12,1,13.5,161.9,1002.0,15.0
1986,10,14,18,1,13.8,160.6,1002.0,15.0
1986,10,15,0,1,14.0,158.9,1000.0,15.0
1986,10,15,6,1,14.2,157.2,998.0,15.0
1986,10,15,12,1,14.8,156.0,998.0,15.0
1986,10,15,18,2,15.5,154.2,990.0,20.0
1986,10,16,0,3,16.2,152.0,988.0,30.0
1986,10,16,6,3,16.7,150.0,984.0,30.0
1986,10,16,12,4,17.5,148.3,978.0,35.0
1986,10,16,18,4,18.2,146.8,960.0,40.0
1986,10,17,0,5,18.9,145.4,945.0,45.0
1986,10,17,6,5,19.6,144.3,940.0,45.0
1986,10,17,12,5,20.0,143.4,931.0,50.0
1986,10,17,18,5,20.6,142.5,955.0,45.0
1986,10,18,0,4,21.1,142.2,960.0,40.0
1986,10,18,6,4,21.6,142.3,960.0,40.0
1986,10,18,12,4,22.1,142.3,960.0,40.0
1986,10,18,18,4,22.6,142.6,960.0,40.0
1986,10,19,0,4,23.4,143.3,960.0,40.0
1986,10,19,6,4,24.4,144.7,970.0,35.0
1986,10,19,12,3,25.7,146.5,978.0,30.0
1986,10,19,18,3,27.9,149.5,980.0,30.0
1986,10,20,0,9,31.0,153.0,980.0,30.0
1986,10,20,6,9,33.0,156.8,985.0,25.0
1986,10,20,12,9,40.3,161.4,990.0,20.0
1986,10,20,18,9,43.0,168.0,998.0,15.0
