year,month,day,hour,power,lat,lng,PRES,WND
1986,11,18,0,0,12.5,131.3,1006.0,10.0
1986,11,18,6,1,12.7,130.2,1004.0,12.0
1986,11,18,12,1,13.0,129.0,1000.0,15.0
1986,11,18,18,1,13.3,128.0,998.0,15.0
1986,11,19,0,2,13.6,127.0,995.0,20.0
1986,11,19,6,3,14.0,126.3,990.0,25.0
1986,11,19,12,3,14.4,125.5,985.0,25.0
1986,11,19,18,3,14.6,124.8,984.0,25.0
1986,11,20,0,3,15.3,124.5,975.0,30.0
1986,11,20,6,4,16.0,124.4,965.0,35.0
1986,11,20,12,4,16.8,124.2,965.0,40.0
1986,11,20,18,4,17.4,124.0,955.0,40.0
1986,11,21,0,5,18.0,123.9,940.0,45.0
1986,11,21,6,5,18.9,124.0,940.0,45.0
1986,11,21,12,5,19.6,124.0,936.0,45.0
1986,11,21,18,4,20.2,124.0,950.0,40.0
1986,11,22,0,4,20.6,124.1,960.0,35.0
1986,11,22,6,4,21.2,124.2,970.0,35.0
1986,11,22,12,4,21.6,124.3,970.0,35.0
1986,11,22,18,4,22.1,124.7,970.0,35.0
1986,11,23,0,4,22.5,124.9,980.0,35.0
1986,11,23,6,3,22.9,125.1,980.0,30.0
1986,11,23,12,3,23.3,125.5,990.0,25.0
1986,11,23,18,2,23.6,126.0,995.0,20.0
1986,11,24,0,9,24.0,126.5,998.0,20.0
1986,11,24,6,9,24.5,127.2,1000.0,15.0
1986,11,24,12,9,24.9,128.0,1000.0,15.0
1986,11,24,18,9,25.4,129.2,1002.0,12.0
1986,11,25,0,9,25.8,130.4,1004.0,10.0
