year,month,day,hour,power,lat,lng,PRES,WND
1986,11,28,0,1,7.8,164.1,1000.0,12.0
1986,11,28,6,1,8.7,162.8,998.0,15.0
1986,11,28,12,1,8.7,161.8,995.0,15.0
1986,11,28,18,1,8.8,160.7,990.0,15.0
1986,11,29,0,2,9.2,159.3,985.0,20.0
1986,11,29,6,3,9.3,158.6,975.0,30.0
1986,11,29,12,3,9.4,157.8,975.0,30.0
1986,11,29,18,3,9.7,156.9,970.0,30.0
1986,11,30,0,4,10.2,156.0,960.0,35.0
1986,11,30,6,4,10.8,155.1,960.0,35.0
1986,11,30,12,4,11.5,154.3,960.0,35.0
1986,11,30,18,4,12.3,153.7,960.0,40.0
1986,12,1,0,4,13.2,152.8,960.0,40.0
1986,12,1,6,5,13.9,152.1,950.0,45.0
1986,12,1,12,5,14.7,151.5,930.0,50.0
1986,12,1,18,5,15.1,150.7,920.0,50.0
1986,12,2,0,5,15.3,149.9,920.0,50.0
1986,12,2,6,6,15.5,149.2,920.0,55.0
1986,12,2,12,6,15.5,148.3,910.0,60.0
1986,12,2,18,6,15.5,147.4,910.0,60.0
1986,12,3,0,6,15.5,146.4,904.0,60.0
1986,12,3,6,6,15.4,145.2,910.0,60.0
1986,12,3,12,6,15.6,144.1,920.0,60.0
1986,12,3,18,6,15.8,143.0,920.0,55.0
1986,12,4,0,6,16.0,142.0,920.0,55.0
1986,12,4,6,6,16.3,141.4,920.0,55.0
1986,12,4,12,6,16.7,140.9,920.0,55.0
1986,12,4,18,5,17.0,140.6,930.0,50.0
1986,12,5,0,5,17.2,140.3,930.0,50.0
1986,12,5,6,5,17.5,140.0,950.0,45.0
1986,12,5,12,4,17.4,139.6,955.0,40.0
1986,12,5,18,4,17.4,138.9,960.0,40.0
1986,12,6,0,4,17.4,138.1,960.0,40.0
1986,12,6,6,4,17.2,137.1,960.0,40.0
1986,12,6,12,5,17.2,136.1,955.0,45.0
1986,12,6,18,5,17.2,135.1,955.0,45.0
1986,12,7,0,5,17.4,134.2,950.0,45.0
1986,12,7,6,5,17.6,133.4,950.0,45.0
1986,12,7,12,5,17.3,133.0,950.0,45.0
1986,12,7,18,4,17.1,132.9,965.0,40.0
1986,12,8,0,4,16.8,132.6,965.0,35.0
1986,12,8,6,4,16.4,132.5,970.0,35.0
1986,12,8,12,4,16.2,132.2,980.0,35.0
1986,12,8,18,3,16.2,132.4,980.0,30.0
1986,12,9,0,3,16.2,132.4,980.0,30.0
1986,12,9,6,3,16.2,132.4,980.0,30.0
1986,12,9,12,3,16.6,132.2,985.0,25.0
1986,12,9,18,3,16.6,132.2,985.0,25.0
1986,12,10,0,2,16.6,132.2,990.0,20.0
1986,12,10,6,2,16.8,132.4,995.0,20.0
1986,12,10,12,2,17.2,132.4,995.0,20.0
1986,12,10,18,1,17.6,132.0,997.0,15.0
1986,12,11,0,1,17.9,130.9,1000.0,12.0
