year,month,day,hour,power,lat,lng,PRES,WND
1986,6,30,6,0,13.0,162.0,1004.0,10.0
1986,6,30,12,0,13.2,161.0,1004.0,10.0
1986,6,30,18,0,13.5,160.1,1004.0,10.0
1986,7,1,0,1,13.4,159.0,1004.0,12.0
1986,7,1,6,1,13.4,158.2,1004.0,12.0
1986,7,1,12,1,13.3,157.3,1004.0,12.0
1986,7,1,18,1,13.0,156.5,1004.0,12.0
1986,7,2,0,1,12.9,155.6,1004.0,12.0
1986,7,2,6,1,13.0,154.5,1004.0,12.0
1986,7,2,12,1,13.2,153.6,1004.0,12.0
1986,7,2,18,1,13.4,152.6,1002.0,12.0
1986,7,3,0,1,13.7,151.6,1002.0,15.0
1986,7,3,6,1,13.9,150.8,1001.0,15.0
1986,7,3,12,1,14.3,149.6,1000.0,15.0
1986,7,3,18,2,14.4,148.1,997.0,20.0
1986,7,4,0,2,14.5,146.5,995.0,20.0
1986,7,4,6,3,14.5,145.2,988.0,25.0
1986,7,4,12,3,14.7,143.8,985.0,25.0
1986,7,4,18,3,14.8,142.5,980.0,30.0
1986,7,5,0,4,14.9,141.3,973.0,35.0
1986,7,5,6,4,15.0,140.0,953.0,40.0
1986,7,5,12,5,15.1,138.7,940.0,45.0
1986,7,5,18,5,15.3,137.3,940.0,50.0
1986,7,6,0,5,15.4,136.0,934.0,50.0
1986,7,6,6,5,15.8,134.7,917.0,50.0
1986,7,6,12,6,16.1,133.1,910.0,55.0
1986,7,6,18,6,16.5,131.7,905.0,60.0
1986,7,7,0,6,16.7,130.3,900.0,65.0
1986,7,7,6,6,16.9,129.0,910.0,65.0
1986,7,7,12,6,17.1,127.7,917.0,60.0
1986,7,7,18,6,17.2,126.5,925.0,55.0
1986,7,8,0,6,17.3,125.7,925.0,55.0
1986,7,8,6,6,17.4,124.7,920.0,55.0
1986,7,8,12,6,17.6,123.8,920.0,55.0
1986,7,8,18,5,17.9,122.8,925.0,50.0
1986,7,9,0,5,18.0,122.2,930.0,45.0
1986,7,9,6,5,18.1,121.3,930.0,45.0
1986,7,9,12,4,18.6,120.7,940.0,40.0
1986,7,9,18,4,19.0,120.0,940.0,40.0
1986,7,10,0,4,19.5,119.4,950.0,35.0
1986,7,10,6,4,19.9,118.7,960.0,35.0
1986,7,10,12,4,20.5,118.0,970.0,35.0
1986,7,10,18,4,21.3,117.3,976.0,35.0
1986,7,11,0,4,22.0,116.4,976.0,35.0
1986,7,11,6,3,22.7,115.8,978.0,30.0
1986,7,11,12,3,22.8,114.8,980.0,25.0
1986,7,11,18,2,23.1,114.1,985.0,20.0
1986,7,12,0,1,23.6,113.2,990.0,12.0
1986,7,12,6,1,23.8,112.5,990.0,12.0
1986,7,12,12,0,24.0,111.5,996.0,10.0
1986,7,12,18,0,24.2,110.1,997.0,9.0
1986,7,13,0,0,23.2,109.2,999.0,9.0
1986,7,13,6,0,23.2,108.1,999.0,9.0
1986,7,13,12,0,23.2,106.2,999.0,9.0
1986,7,13,18,0,23.0,104.0,1001.0,9.0
