year,month,day,hour,power,lat,lng,PRES,WND
1986,8,12,18,1,18.8,158.5,998.0,12.0
1986,8,13,0,1,18.0,157.3,998.0,15.0
1986,8,13,6,1,18.7,156.8,995.0,15.0
1986,8,13,12,1,18.7,156.4,990.0,15.0
1986,8,13,18,2,18.8,156.0,990.0,20.0
1986,8,14,0,2,19.0,155.9,990.0,20.0
1986,8,14,6,3,19.2,156.1,990.0,25.0
1986,8,14,12,3,19.5,156.4,986.0,25.0
1986,8,14,18,3,19.8,156.4,982.0,30.0
1986,8,15,0,3,20.2,156.0,980.0,30.0
1986,8,15,6,3,21.3,156.4,980.0,30.0
1986,8,15,12,3,22.6,155.8,980.0,30.0
1986,8,15,18,4,23.8,154.8,975.0,35.0
1986,8,16,0,4,24.4,153.9,967.0,35.0
1986,8,16,6,4,25.0,153.5,967.0,35.0
1986,8,16,12,4,25.4,153.1,967.0,40.0
1986,8,16,18,4,25.5,152.9,968.0,40.0
1986,8,17,0,4,25.6,152.8,969.0,40.0
1986,8,17,6,4,25.9,153.5,970.0,40.0
1986,8,17,12,4,26.2,154.4,975.0,40.0
1986,8,17,18,4,26.6,155.8,975.0,40.0
1986,8,18,0,4,27.1,156.9,975.0,35.0
1986,8,18,6,4,27.6,157.7,975.0,35.0
1986,8,18,12,4,27.3,158.2,975.0,35.0
1986,8,18,18,4,27.2,159.1,975.0,35.0
1986,8,19,0,4,26.9,160.9,975.0,35.0
1986,8,19,6,4,27.8,162.8,975.0,35.0
1986,8,19,12,3,29.0,164.0,975.0,30.0
1986,8,19,18,3,29.8,164.3,975.0,30.0
1986,8,20,0,3,31.0,165.0,975.0,30.0
1986,8,20,6,3,32.1,164.7,975.0,30.0
1986,8,20,12,3,33.6,164.3,975.0,30.0
1986,8,20,18,3,35.0,163.3,980.0,25.0
1986,8,21,0,3,36.8,162.6,980.0,25.0
1986,8,21,6,3,37.4,160.7,985.0,25.0
1986,8,21,12,2,37.0,159.3,985.0,20.0
1986,8,21,18,2,36.5,159.0,990.0,20.0
1986,8,22,0,2,36.0,158.5,990.0,20.0
1986,8,22,6,2,36.3,157.3,992.0,20.0
1986,8,22,12,1,36.5,156.0,995.0,15.0
1986,8,22,18,1,36.5,154.5,995.0,15.0
1986,8,23,0,1,37.0,153.0,1000.0,15.0
1986,8,23,6,1,37.5,151.5,1000.0,15.0
1986,8,23,12,1,38.4,149.8,1000.0,15.0
1986,8,23,18,1,39.0,148.5,1000.0,15.0
1986,8,24,0,1,40.0,147.0,1002.0,12.0
1986,8,24,6,1,40.4,146.5,1004.0,12.0
1986,8,24,12,1,41.5,146.0,1004.0,12.0
