year,month,day,hour,power,lat,lng,PRES,WND
1986,8,16,0,1,17.6,121.5,998.0,12.0
1986,8,16,6,1,17.4,120.8,995.0,15.0
1986,8,16,12,2,17.3,119.8,995.0,20.0
1986,8,16,18,2,17.0,118.9,995.0,20.0
1986,8,17,0,2,16.9,118.0,995.0,20.0
1986,8,17,6,2,16.2,117.6,995.0,20.0
1986,8,17,12,2,15.5,117.4,995.0,20.0
1986,8,17,18,2,15.1,117.3,995.0,20.0
1986,8,18,0,2,15.3,117.1,995.0,20.0
1986,8,18,6,2,15.9,116.9,992.0,20.0
1986,8,18,12,2,16.3,116.6,990.0,20.0
1986,8,18,18,2,16.5,116.1,990.0,20.0
1986,8,19,0,3,17.1,115.5,985.0,25.0
1986,8,19,6,3,17.7,114.9,980.0,30.0
1986,8,19,12,4,18.2,114.2,975.0,35.0
1986,8,19,18,4,19.0,113.7,975.0,35.0
1986,8,20,0,4,19.5,113.3,975.0,35.0
1986,8,20,6,4,20.5,113.7,975.0,35.0
1986,8,20,12,4,21.2,114.4,970.0,40.0
1986,8,20,18,4,21.7,115.1,970.0,40.0
1986,8,21,0,4,22.3,116.0,970.0,40.0
1986,8,21,6,4,22.7,117.1,965.0,40.0
1986,8,21,12,4,23.1,118.2,965.0,40.0
1986,8,21,18,4,23.6,119.2,965.0,40.0
1986,8,22,0,4,24.0,120.4,965.0,35.0
1986,8,22,6,3,24.6,122.0,975.0,30.0
1986,8,22,12,3,25.0,122.9,980.0,30.0
1986,8,22,18,3,25.1,124.2,980.0,30.0
1986,8,23,0,3,24.6,124.5,985.0,25.0
1986,8,23,6,3,24.5,125.0,985.0,25.0
1986,8,23,12,3,24.3,124.4,985.0,25.0
1986,8,23,18,3,23.7,123.9,985.0,25.0
1986,8,24,0,3,23.2,123.3,985.0,25.0
1986,8,24,6,3,22.6,122.5,985.0,25.0
1986,8,24,12,3,22.3,121.8,985.0,25.0
1986,8,24,18,2,21.4,120.7,990.0,20.0
1986,8,25,0,2,21.2,119.2,992.0,20.0
1986,8,25,6,2,20.7,118.0,992.0,20.0
1986,8,25,12,2,20.0,117.2,992.0,20.0
1986,8,25,18,2,19.7,116.2,992.0,20.0
1986,8,26,0,2,19.2,115.6,992.0,20.0
1986,8,26,6,2,18.8,114.8,992.0,20.0
1986,8,26,12,1,18.6,114.6,995.0,15.0
1986,8,26,18,1,18.2,115.2,995.0,15.0
1986,8,27,0,1,18.2,116.0,995.0,15.0
1986,8,27,6,1,18.2,116.9,995.0,15.0
1986,8,27,12,1,18.3,117.7,995.0,15.0
1986,8,27,18,1,18.7,118.7,995.0,15.0
1986,8,28,0,2,19.2,120.0,992.0,20.0
1986,8,28,6,2,19.9,120.6,992.0,20.0
1986,8,28,12,2,20.4,120.9,992.0,20.0
1986,8,28,18,2,20.6,121.1,992.0,20.0
1986,8,29,0,2,20.7,121.3,992.0,20.0
1986,8,29,6,3,20.7,121.3,990.0,25.0
1986,8,29,12,3,20.9,121.4,990.0,25.0
1986,8,29,18,3,21.1,121.5,990.0,25.0
1986,8,30,0,3,21.4,121.7,990.0,25.0
1986,8,30,6,3,21.8,122.0,985.0,30.0
1986,8,30,12,3,21.9,122.4,975.0,30.0
1986,8,30,18,4,22.0,122.6,965.0,35.0
1986,8,31,0,4,21.9,122.9,955.0,40.0
1986,8,31,6,4,21.8,123.0,960.0,40.0
1986,8,31,12,4,21.5,123.2,965.0,40.0
1986,8,31,18,4,21.5,123.2,970.0,35.0
1986,9,1,0,4,21.1,123.0,970.0,35.0
1986,9,1,6,4,20.7,122.7,970.0,35.0
1986,9,1,12,4,20.3,122.3,970.0,35.0
1986,9,1,18,4,20.0,122.1,970.0,35.0
1986,9,2,0,4,19.7,121.9,965.0,40.0
1986,9,2,6,4,19.3,121.7,965.0,40.0
1986,9,2,12,4,19.0,121.4,965.0,40.0
1986,9,2,18,4,18.9,120.7,970.0,35.0
1986,9,3,0,4,18.8,120.1,972.0,35.0
1986,9,3,6,4,18.5,119.3,972.0,35.0
1986,9,3,12,4,18.3,118.3,972.0,35.0
1986,9,3,18,4,18.3,117.5,965.0,35.0
1986,9,4,0,5,18.7,116.8,950.0,45.0
1986,9,4,6,4,19.3,115.3,955.0,40.0
1986,9,4,12,4,19.5,113.8,955.0,40.0
1986,9,4,18,4,19.7,112.6,960.0,40.0
1986,9,5,0,4,20.1,111.3,960.0,40.0
1986,9,5,6,4,20.2,109.8,960.0,40.0
1986,9,5,12,4,20.4,108.3,970.0,40.0
1986,9,5,18,4,20.6,107.0,970.0,35.0
1986,9,6,0,1,20.3,105.0,995.0,12.0
1986,9,6,6,1,20.0,103.4,1000.0,12.0
1986,9,6,12,0,19.7,101.4,1000.0,10.0
