year,month,day,hour,power,lat,lng,PRES,WND
1987,9,5,0,1,13.0,144.0,1004.0,12.0
1987,9,5,6,1,13.7,143.0,1002.0,12.0
1987,9,5,12,1,14.1,142.1,1002.0,15.0
1987,9,5,18,1,14.4,141.0,1000.0,15.0
1987,9,6,0,2,14.8,140.5,998.0,20.0
1987,9,6,6,2,15.0,140.7,995.0,20.0
1987,9,6,12,2,15.1,141.1,990.0,20.0
1987,9,6,18,3,15.1,141.3,990.0,25.0
1987,9,7,0,3,15.3,141.6,990.0,25.0
1987,9,7,6,3,15.4,141.4,990.0,25.0
1987,9,7,12,3,15.6,141.3,985.0,30.0
1987,9,7,18,3,15.7,141.0,980.0,30.0
1987,9,8,0,4,15.8,140.8,970.0,35.0
1987,9,8,6,4,16.0,140.6,965.0,35.0
1987,9,8,12,4,16.2,140.2,960.0,40.0
1987,9,8,18,5,16.4,139.7,950.0,45.0
1987,9,9,0,5,16.6,139.1,950.0,45.0
1987,9,9,6,5,16.7,138.6,945.0,50.0
1987,9,9,12,6,16.8,138.2,935.0,55.0
1987,9,9,18,6,17.0,137.7,930.0,55.0
1987,9,10,0,6,17.0,137.3,920.0,60.0
1987,9,10,6,6,17.2,137.2,915.0,65.0
1987,9,10,12,6,17.4,137.0,915.0,60.0
1987,9,10,18,6,17.5,136.8,920.0,60.0
1987,9,11,0,6,17.6,136.8,930.0,55.0
1987,9,11,6,5,18.0,137.2,930.0,50.0
1987,9,11,12,5,18.3,137.4,935.0,50.0
1987,9,11,18,5,18.7,137.7,940.0,45.0
1987,9,12,0,4,18.8,138.0,945.0,40.0
1987,9,12,6,4,19.2,138.4,950.0,40.0
1987,9,12,12,4,19.8,138.8,950.0,40.0
1987,9,12,18,4,20.3,139.1,950.0,35.0
1987,9,13,0,4,20.9,139.2,955.0,35.0
1987,9,13,6,4,21.4,139.4,960.0,35.0
1987,9,13,12,4,22.2,139.8,960.0,35.0
1987,9,13,18,4,22.6,139.8,960.0,35.0
1987,9,14,0,4,23.3,139.9,960.0,35.0
1987,9,14,6,3,24.1,140.1,970.0,30.0
1987,9,14,12,3,24.9,140.2,970.0,30.0
1987,9,14,18,3,25.5,140.2,970.0,30.0
1987,9,15,0,3,26.5,140.2,970.0,30.0
1987,9,15,6,3,27.5,139.9,970.0,30.0
1987,9,15,12,3,28.5,139.9,970.0,30.0
1987,9,15,18,3,29.4,140.1,970.0,30.0
1987,9,16,0,3,30.4,140.2,975.0,30.0
1987,9,16,6,3,31.1,140.8,975.0,30.0
1987,9,16,12,3,31.9,141.3,980.0,25.0
1987,9,16,18,3,32.9,142.1,980.0,25.0
1987,9,17,0,2,33.5,143.0,980.0,20.0
1987,9,17,6,2,33.7,144.5,985.0,20.0
1987,9,17,12,9,34.1,146.2,985.0,20.0
1987,9,17,18,9,35.0,148.0,988.0,20.0
1987,9,18,0,9,36.0,150.0,980.0,25.0
1987,9,18,6,9,36.8,152.0,980.0,25.0
1987,9,18,12,9,37.7,154.3,980.0,25.0
1987,9,18,18,9,39.7,157.2,985.0,20.0
1987,9,19,0,9,42.0,159.0,988.0,20.0
1987,9,19,6,9,44.0,161.0,990.0,20.0
1987,9,19,12,9,47.0,163.0,990.0,20.0
