year,month,day,hour,power,lat,lng,PRES,WND
1987,9,27,0,3,21.5,181.5,980.0,30.0
1987,9,27,6,3,22.2,181.3,980.0,30.0
1987,9,27,12,4,22.8,181.2,975.0,35.0
1987,9,27,18,4,23.3,181.0,975.0,35.0
1987,9,28,0,4,23.7,180.7,970.0,35.0
1987,9,28,6,4,24.2,180.2,965.0,40.0
1987,9,28,12,4,24.5,179.4,960.0,40.0
1987,9,28,18,4,24.8,178.4,955.0,40.0
1987,9,29,0,5,25.2,177.2,950.0,45.0
1987,9,29,6,5,25.7,176.0,950.0,45.0
1987,9,29,12,5,26.3,174.4,950.0,45.0
1987,9,29,18,4,27.2,173.0,955.0,40.0
1987,9,30,0,4,28.3,171.9,955.0,40.0
1987,9,30,6,4,29.4,170.8,955.0,40.0
1987,9,30,12,4,30.2,169.9,960.0,40.0
1987,9,30,18,4,31.1,169.5,960.0,40.0
1987,10,1,0,4,31.6,169.2,965.0,35.0
1987,10,1,6,4,31.9,169.1,965.0,35.0
1987,10,1,12,4,31.9,169.5,970.0,35.0
1987,10,1,18,4,31.8,169.9,970.0,35.0
1987,10,2,0,3,31.3,170.1,975.0,30.0
1987,10,2,6,3,30.6,170.9,980.0,30.0
1987,10,2,12,3,30.0,171.7,985.0,25.0
1987,10,2,18,3,29.6,172.3,985.0,25.0
1987,10,3,0,2,29.0,173.0,990.0,20.0
1987,10,3,6,2,28.3,173.7,994.0,20.0
1987,10,3,12,2,27.7,174.3,994.0,20.0
1987,10,3,18,1,27.0,175.0,996.0,15.0
