year,month,day,hour,power,lat,lng,PRES,WND
1988,8,4,18,0,21.0,128.2,1002.0,10.0
1988,8,5,0,1,21.5,128.1,1002.0,12.0
1988,8,5,6,1,22.0,128.0,1000.0,15.0
1988,8,5,12,1,22.8,128.2,1000.0,15.0
1988,8,5,18,1,23.7,128.3,1000.0,15.0
1988,8,6,0,1,24.5,128.2,998.0,15.0
1988,8,6,6,1,25.0,128.0,998.0,15.0
1988,8,6,12,1,25.8,127.8,998.0,15.0
1988,8,6,18,2,26.5,126.7,994.0,20.0
1988,8,7,0,2,27.5,125.4,990.0,20.0
1988,8,7,6,3,28.5,124.3,985.0,30.0
1988,8,7,12,4,29.1,123.1,980.0,35.0
1988,8,7,18,4,29.7,121.0,970.0,35.0
1988,8,8,0,4,30.4,119.5,985.0,35.0
1988,8,8,6,4,31.0,117.9,990.0,35.0
1988,8,8,12,3,31.2,116.3,990.0,25.0
1988,8,8,18,2,31.6,114.8,995.0,20.0
1988,8,9,0,2,31.6,113.9,998.0,20.0
1988,8,9,6,1,31.8,113.0,1000.0,15.0
1988,8,9,12,1,32.2,111.9,1002.0,12.0
