year,month,day,hour,power,lat,lng,PRES,WND
1988,9,19,0,1,15.0,114.5,1005.0,12.0
1988,9,19,6,1,15.2,114.0,1005.0,12.0
1988,9,19,12,1,15.0,113.5,1005.0,12.0
1988,9,19,18,1,14.5,112.9,1002.0,12.0
1988,9,20,0,1,14.0,112.3,1002.0,12.0
1988,9,20,6,1,13.5,112.0,1000.0,15.0
1988,9,20,12,1,13.4,112.5,1000.0,15.0
1988,9,20,18,1,13.4,112.5,1000.0,15.0
1988,9,21,0,1,13.8,112.8,1000.0,15.0
1988,9,21,6,1,14.1,112.7,998.0,15.0
1988,9,21,12,1,14.5,112.5,998.0,15.0
1988,9,21,18,1,14.5,112.5,998.0,15.0
1988,9,22,0,2,15.0,112.4,990.0,20.0
1988,9,22,6,3,16.6,112.6,990.0,25.0
1988,9,22,12,3,17.8,113.0,990.0,25.0
1988,9,22,18,3,19.0,113.1,990.0,25.0
1988,9,23,0,3,20.0,113.5,990.0,25.0
1988,9,23,6,2,20.9,114.6,990.0,20.0
1988,9,23,12,2,21.8,115.0,995.0,20.0
1988,9,23,18,2,22.3,115.2,995.0,20.0
1988,9,24,0,1,22.8,115.1,1002.0,12.0
1988,9,24,6,0,22.8,115.1,1004.0,10.0
